Left_shoulder_Y_Coordinate,Right_shoulder_Y_Coordinate
-135.21000000000004,-135.3800000000001
-129.43000000000006,-135.30000000000018
-135.19499999999994,-140.78500000000008
-129.77999999999997,-135.47000000000003
-129.78999999999996,-135.43999999999983
-138.37499999999977,-138.43499999999995
-137.98500000000013,-138.35500000000025
-141.23500000000013,-141.17499999999995
-140.98999999999978,-141.00999999999976
-135.5,-129.87000000000012
-135.4375,-132.6925000000001
-135.375,-135.5150000000001
-135.37000000000012,-135.51999999999998
-135.39999999999986,-140.93999999999983
-135.50999999999976,-140.92999999999984
-135.76999999999998,-135.41999999999985
-141.125,-135.50499999999988
-135.72000000000003,-135.3699999999999
-132.51999999999998,-126.7199999999998
-118.08499999999981,-118.02499999999986
-129.42000000000007,-123.81999999999994
-129.59000000000015,-123.6400000000001
-117.81000000000017,-129.68000000000006
-123.69999999999982,-129.66999999999985
-129.58000000000015,-129.59000000000015
-123.84000000000015,-135.60000000000014
-135.2349999999999,-141.26499999999987
-120.93999999999983,-132.48999999999978
-117.94499999999994,-135.33500000000004
-126.71499999999992,-132.34500000000003
-123.64499999999975,-129.46499999999992
-126.7349999999999,-126.89499999999998
-115.17000000000007,-121.04999999999995
-120.89499999999975,-126.7349999999999
-126.64500000000021,-126.81500000000005
-117.98000000000002,-123.63000000000011
-117.76999999999998,-123.80999999999995
-123.81999999999994,-135.56999999999994
-123.68000000000006,-141.02999999999997
-132.19499999999994,-138.18499999999995
-129.28500000000008,-135.21499999999992
-134.90499999999997,-140.85500000000002
-129.55500000000006,-135.35500000000002
-129.26,-135.20000000000005
-135.0150000000001,-141.24500000000012
-132.41999999999985,-138.41999999999985
-135.2900000000002,-141.16000000000008
-135.51,-141.26
-135.4000000000001,-135.7900000000002
-135.56999999999994,-141.45000000000005
-135.30999999999995,-141.26
-129.46499999999992,-135.34500000000003
-120.85499999999979,-138.2349999999999
-138.10000000000014,-138.19000000000005
-135.70500000000015,-135.58500000000004
-141.1049999999998,-135.3449999999998
-135.55999999999995,-135.26999999999998
-141.30999999999995,-135.49
-126.7349999999999,-126.57500000000005
-129.55999999999995,-129.37999999999988
-120.60500000000002,-115.01499999999987
-123.71500000000015,-117.70500000000015
-118.04999999999995,-123.58999999999992
-120.75500000000011,-120.89499999999998
-123.82499999999982,-117.96499999999992
-118.07999999999993,-123.7199999999998
-129.59000000000015,-135.42000000000007
-132.46499999999992,-132.46499999999992
-126.58499999999981,-126.47499999999991
-132.56999999999994,-138.28999999999996
-126.69499999999994,-126.89499999999975
-132.26999999999998,-132.62000000000012
-135.02999999999997,-135.3900000000001
-135.24,-141.26999999999998
-138.25999999999976,-138.3499999999999
-138.15499999999997,-144.04499999999985
-123.92000000000007,-129.75
-123.74499999999989,-129.42499999999995
-114.85000000000014,-120.80000000000018
-112.17000000000007,-117.93000000000006
-117.94499999999994,-135.39499999999998
-132.28499999999985,-132.39499999999975
-129.42499999999995,-135.43499999999995
-112.14499999999998,-129.68499999999995
-129.33500000000004,-135.2349999999999
-129.51499999999987,-132.43499999999995
-129.69499999999994,-129.635
-141.1550000000002,-135.34500000000003
-129.3800000000001,-129.51999999999998
-123.77999999999997,-117.97000000000003
-109.2650000000001,-114.93499999999995
-112.07500000000005,-112.02499999999986
-109.27499999999986,-115.11499999999978
-112.20999999999981,-129.54999999999995
-115.12000000000012,-120.75000000000023
-118.09500000000003,-123.63499999999999
-126.78999999999996,-120.77999999999997
-144.03500000000008,-120.77500000000009
-129.55500000000006,-111.99500000000012
-138.18500000000017,-132.4050000000002
-135.30500000000006,-123.82500000000005
-135.2349999999999,-123.69499999999994
-134.94499999999994,-129.21499999999992
-135.20000000000005,-123.75
-135.16499999999974,-135.04499999999985
-129.55499999999984,-129.41499999999996
-135.2099999999998,-129.44999999999982
-129.4849999999999,-135.34500000000003
-123.97000000000003,-129.72000000000003
-117.82500000000027,-135.24500000000012
-117.75499999999988,-123.79500000000007
-117.99000000000001,-135.28999999999996
-114.86999999999989,-126.52999999999997
-120.51999999999998,-126.61999999999989
-122.0150000000001,-125.28499999999985
-123.50999999999999,-123.94999999999982
-123.67499999999995,-129.40499999999997
-129.56999999999994,-135.42999999999984
-120.85000000000014,-132.49
-115.00999999999999,-126.58999999999992
-132.42499999999973,-132.40499999999975
-126.58500000000004,-132.4150000000002
-129.57500000000005,-129.59500000000003
-123.91999999999985,-129.51999999999998
-129.35500000000002,-123.71499999999992
-129.46000000000004,-134.97000000000003
-129.73500000000013,-129.46500000000015
-132.18000000000006,-132.28999999999996
-132.24,-132.25
-123.51499999999987,-123.37499999999977
-117.72499999999991,-117.71499999999992
-106.30999999999995,-106.43000000000006
-109.07500000000005,-109.15499999999997
-111.86000000000013,-106.29000000000019
-106.44000000000005,-106.41999999999985
-117.9050000000002,-117.87500000000023
-117.8599999999999,-123.62999999999988
-112.04500000000007,-112.10500000000002
-112.14999999999986,-112.08999999999992
-106.34500000000003,-112.14499999999998
-112.03500000000008,-100.62500000000023
-111.94250000000011,-106.14750000000004
-111.85000000000014,-111.67000000000007
-123.47499999999991,-117.63499999999999
-129.23000000000002,-117.51999999999998
-120.65250000000015,-117.65750000000003
-112.07499999999982,-117.79499999999985
-123.59999999999991,-111.8900000000001
-129.3449999999998,-111.93499999999995
-106.26499999999987,-106.16499999999996
-112.07999999999993,-112.07999999999993
-109.11999999999989,-109.27999999999997
-115.03500000000008,-120.92500000000018
-115.09500000000003,-121.00500000000011
-117.625,-123.63499999999999
-129.3800000000001,-134.98000000000002
-127.88749999999982,-133.62249999999995
-126.39499999999998,-132.2650000000001
-123.42499999999973,-129.31499999999983
-120.45500000000015,-126.36500000000001
-126.70499999999993,-132.33500000000004
-129.3800000000001,-129.66000000000008
-117.75999999999976,-118.01999999999975
-123.48500000000013,-123.79500000000007
-114.67999999999984,-120.70999999999981
-108.95000000000005,-120.81999999999994
-111.97999999999979,-123.65999999999985
-117.72000000000003,-117.68000000000006
-111.81999999999994,-111.95000000000005
-111.93000000000006,-112.02999999999997
-111.92499999999995,-117.69499999999994
-111.96000000000004,-111.76999999999998
-105.93499999999995,-106.02500000000009
-106.03500000000008,-106.0150000000001
-103.42000000000007,-103.36000000000013
-111.98500000000013,-112.18499999999995
-106.43499999999995,-106.17499999999995
-106.29999999999995,-106.19000000000005
-111.76999999999998,-111.8599999999999
-117.66000000000008,-117.63999999999987
-112.06500000000028,-111.96500000000015
-114.70999999999981,-114.87999999999988
-105.96000000000004,-106.19000000000005
-100.35500000000002,-106.03499999999985
-106.1099999999999,-100.50999999999976
-103.22000000000003,-108.8900000000001
-112.06999999999994,-123.66999999999985
-117.9699999999998,-118.06999999999994
-117.7650000000001,-123.56500000000005
-117.59999999999991,-111.88999999999987
-114.81999999999994,-114.91999999999985
-112.03999999999996,-117.95000000000005
-123.5,-129.27999999999997
-106.30000000000018,-123.93000000000006
-117.69999999999982,-123.51999999999998
-106.40499999999997,-111.99499999999989
-104.84999999999991,-110.43499999999995
-103.29500000000007,-108.87500000000023
-109.18499999999995,-419.52250000000004
-110.61249999999995,
