nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(3804.16, 1207.82)","(3845.58, 1272.38)","(3845.45, 1260.69)","(3798.27, 1337.28)","(3757.15, 1325.15)","(3845.59, 1272.4)","(3845.48, 1342.92)","(3786.42, 1331.21)","(3845.59, 1431.2)","(3845.55, 1431.09)","(3845.48, 1525.47)","(nan, nan)","(3845.6, 1431.4)","(3845.44, 1525.27)","(nan, nan)","(3798.54, 1201.85)","(3845.47, 1201.89)","(nan, nan)","(3845.58, 1219.3)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"(3786.59, 1207.58)","(3845.48, 1272.31)","(3798.37, 1278.08)","(3786.67, 1337.24)","(3739.49, 1319.31)","(3845.54, 1272.25)","(3798.21, 1337.27)","(3739.53, 1313.47)","(3845.54, 1425.49)","(3845.51, 1425.44)","(3845.45, 1525.57)","(3845.56, 1537.38)","(3845.55, 1431.04)","(3757.22, 1501.95)","(3845.58, 1549.12)","(3792.23, 1201.91)","(3792.52, 1201.71)","(nan, nan)","(3845.5, 1213.46)","(3845.58, 1601.97)","(nan, nan)","(3845.59, 1566.61)","(nan, nan)","(nan, nan)","(3845.59, 1537.36)"
"(3757.1, 1207.62)","(3792.73, 1266.36)","(3786.33, 1266.54)","(3751.37, 1336.89)","(3715.93, 1301.99)","(3845.49, 1260.57)","(3845.56, 1336.94)","(3845.49, 1366.62)","(3845.43, 1407.68)","(3798.26, 1407.72)","(3845.49, 1525.67)","(3845.57, 1554.85)","(3845.49, 1401.91)","(3739.36, 1484.53)","(3845.51, 1560.73)","(3756.99, 1201.82)","(3780.42, 1201.64)","(nan, nan)","(3798.34, 1207.55)","(3845.49, 1602.06)","(3845.49, 1602.02)","(3845.55, 1560.76)","(nan, nan)","(nan, nan)","(3845.59, 1549.07)"
"(3739.54, 1201.91)","(3786.23, 1254.87)","(3745.47, 1260.67)","(3739.27, 1331.04)","(3692.5, 1296.11)","(3798.4, 1249.11)","(3845.52, 1319.5)","(3810.08, 1360.58)","(3786.54, 1401.86)","(3780.71, 1401.9)","(3845.42, 1525.6)","(3845.54, 1578.74)","(3792.35, 1401.86)","(3704.07, 1478.53)","(3792.6, 1549.13)","(3745.05, 1201.53)","(3745.45, 1201.41)","(nan, nan)","(3786.23, 1201.88)","(3792.16, 1596.25)","(3792.54, 1590.36)","(3810.09, 1554.96)","(3845.56, 1613.88)","(3845.56, 1613.78)","(3845.57, 1578.65)"
"(3715.82, 1201.43)","(3745.3, 1254.56)","(3710.12, 1254.76)","(3697.99, 1325.38)","(3662.93, 1290.21)","(3786.36, 1248.92)","(3845.51, 1301.94)","(3786.63, 1343.22)","(3756.97, 1396.08)","(3745.28, 1396.2)","(3804.27, 1525.22)","(3845.56, 1578.44)","(3780.47, 1396.07)","(3680.57, 1478.51)","(3780.38, 1572.32)","(3710.11, 1195.82)","(3733.4, 1195.74)","(nan, nan)","(3751.31, 1201.69)","(3768.8, 1619.44)","(3780.57, 1613.61)","(3792.32, 1566.81)","(3845.55, 1602)","(3845.56, 1590.35)","(3845.58, 1572.78)"
"(3692.53, 1195.88)","(3733.27, 1254.57)","(3692.51, 1249.11)","(3663.02, 1319.3)","(3645.46, 1290.23)","(3751.32, 1249.08)","(3845.5, 1301.89)","(3774.67, 1343.24)","(3739.1, 1395.86)","(3721.83, 1395.92)","(3786.54, 1507.77)","(3845.56, 1578.46)","(3739.66, 1390.33)","(3651.08, 1478.08)","(3727.67, 1572.59)","(3697.96, 1195.71)","(3698.48, 1195.59)","(nan, nan)","(3739.22, 1201.9)","(3704.08, 1613.77)","(3727.49, 1608)","(3739.53, 1572.67)","(3845.44, 1607.91)","(3845.52, 1602.04)","(3845.58, 1578.52)"
"(3674.59, 1196.01)","(3698.25, 1248.83)","(3662.97, 1248.74)","(3645.35, 1295.87)","(3633.43, 1289.86)","(3739.43, 1248.81)","(3845.43, 1296.12)","(3751.1, 1342.78)","(3703.96, 1389.98)","(3697.99, 1390.08)","(3768.92, 1490.35)","(3845.5, 1572.49)","(3715.85, 1389.97)","(3633.36, 1472.48)","(3686.4, 1578.5)","(3668.85, 1195.56)","(3691.99, 1195.64)","(nan, nan)","(3709.96, 1201.72)","(3650.97, 1619.55)","(3668.65, 1619.58)","(3698.12, 1584.42)","(3845.49, 1601.98)","(3845.48, 1590.21)","(3845.53, 1572.55)"
"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(1113.26, 919.036)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"(3650.94, 1195.9)","(3686.2, 1248.8)","(3645.36, 1248.75)","(3615.91, 1301.81)","(3609.84, 1290.19)","(3709.92, 1248.72)","(3786.69, 1301.74)","(3733.4, 1342.79)","(3686.5, 1389.93)","(3668.71, 1389.96)","(3745.56, 1490.08)","(3845.44, 1572.38)","(3697.95, 1389.84)","(3604.02, 1472.25)","(3645.02, 1590.27)","(3645.45, 1195.56)","(3657.06, 1195.52)","(nan, nan)","(3692.38, 1201.64)","(3598.12, 1619.73)","(3609.87, 1625.38)","(3651.17, 1608.02)","(3845.45, 1608.02)","(3845.42, 1602.07)","(3845.49, 1572.42)"
"(3633.32, 1195.89)","(3651.15, 1248.79)","(3610.07, 1248.66)","(3598.29, 1301.83)","(3603.87, 1290.02)","(3692.51, 1248.83)","(3768.73, 1301.67)","(3704, 1337.24)","(3651.33, 1389.88)","(3645.42, 1389.96)","(3733.35, 1484.56)","(3810.16, 1566.8)","(3662.96, 1389.87)","(3597.73, 1478.27)","(3598.32, 1596.16)","(3627.48, 1195.46)","(3645, 1195.47)","(nan, nan)","(3662.94, 1201.39)","(3557.03, 1619.59)","(3580.37, 1619.92)","(3609.83, 1613.76)","(3816.03, 1613.67)","(3810.17, 1607.88)","(3845.46, 1572.4)"
"(3603.88, 1195.71)","(3639.07, 1248.93)","(3597.92, 1248.82)","(3556.88, 1301.79)","(3562.89, 1290.11)","(3668.69, 1248.94)","(3739.65, 1301.91)","(3686.52, 1342.76)","(3639.34, 1390.19)","(3615.9, 1390.16)","(3692.4, 1484.43)","(3792.75, 1555.04)","(3645.44, 1390.12)","(3557.21, 1478.58)","(3557.19, 1601.95)","(3603.73, 1189.98)","(3610, 1189.95)","(nan, nan)","(3645.33, 1201.51)","(3521.68, 1613.85)","(3545.05, 1619.68)","(3574.44, 1613.91)","(3798.3, 1584.48)","(3804.25, 1584.31)","(3804.4, 1560.68)"
"(3586.16, 1195.76)","(3604.13, 1248.79)","(3562.94, 1248.64)","(3550.71, 1301.99)","(3551.17, 1290.13)","(3650.93, 1248.94)","(3715.92, 1307.81)","(3651.27, 1337.29)","(3604.2, 1390.08)","(3597.96, 1390.18)","(3663.02, 1490.22)","(3786.38, 1537.46)","(3633.3, 1390.11)","(3551.07, 1484.07)","(3539.06, 1602.08)","(3580.51, 1189.99)","(3597.84, 1189.92)","(nan, nan)","(3615.8, 1196.03)","(3497.75, 1613.69)","(3504.06, 1619.65)","(3545.05, 1619.44)","(3792.72, 1578.65)","(3792.6, 1578.54)","(3792.53, 1537.28)"
"(3556.82, 1195.85)","(3592.09, 1254.53)","(3550.75, 1248.88)","(3504.02, 1301.64)","(3539.25, 1296.02)","(3621.73, 1254.68)","(3692.21, 1331.01)","(3633.37, 1336.99)","(3586.42, 1395.96)","(3562.69, 1395.96)","(3645.35, 1502)","(3745.54, 1525.43)","(3598.28, 1395.94)","(3539.08, 1490.1)","(3509.75, 1613.7)","(3556.71, 1195.42)","(3562.99, 1195.44)","(nan, nan)","(3598.31, 1201.57)","(3462.79, 1619.61)","(3486.22, 1625.47)","(3515.74, 1619.76)","(3780.56, 1566.73)","(3768.8, 1560.76)","(3768.77, 1519.36)"
"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(2332.04, 771.653)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
