Frame,Smoothed Step Length
0,20.671603945852237
1,23.78893137831907
2,23.08176475984532
3,25.43765594782302
4,27.196992434094827
5,30.25978534181001
6,31.19885470251243
7,34.200272614640426
8,33.94361363290167
9,32.93131575942612
10,35.110929634702785
11,34.99576775414313
12,37.01413078011389
13,38.80317272857444
14,39.48283695997314
15,37.95890102157882
16,38.19825060873072
17,38.1919988965033
18,39.96214719220928
19,41.126494258243156
20,39.38352137613608
21,39.32043140941266
22,35.67205506267772
23,33.29610510013531
24,31.11991103029155
25,31.467177044278653
26,29.350905122165358
27,28.694747778943572
28,25.897671240155617
29,25.894480071112383
30,24.970212981074923
31,22.703867482690956
32,23.962774203583272
33,22.32140248927684
34,20.273778711031422
35,17.319820218686967
36,19.07074579603214
37,16.910201984740027
38,17.975323685847325
39,17.431727526003087
40,20.11695212690394
41,22.38114476523766
42,22.19200355585061
43,24.452461232181367
44,28.54827907531085
45,32.23719373423352
46,32.98068019664695
47,36.37902677958096
48,37.50408109875034
49,37.94014247938306
50,39.1483507680384
51,40.92469129511147
52,40.38804411235668
53,41.30555284218671
54,41.63181983398511
55,40.884789125184575
56,39.15218442623208
57,37.92623328155017
58,35.58564914041772
59,35.71283489509813
60,33.59788177067083
61,31.26261856141134
62,30.70102079757635
63,29.71335660406352
64,26.93969742422254
65,26.96695792249968
66,26.662163550043548
67,26.12929671849525
68,25.538909710452877
69,24.978994974019926
70,23.68322076412598
71,21.29240393744515
72,19.971281900043333
73,19.920271693533383
74,19.522424556376425
75,17.2869738738663
76,17.511816626311823
77,17.558297945809972
78,20.48725821654349
79,21.581612313587417
80,22.135101375966514
81,25.09686683259273
82,29.233994126162422
83,31.014102979385196
84,33.90082423102472
85,35.602039427644364
86,36.78069441634218
87,37.90352254347807
88,38.52962109407043
89,38.680363309879155
90,39.8122737251201
91,40.66759034148883
92,39.49546867367069
93,36.72221578058842
94,36.60495984843678
95,34.92544647937921
96,35.102459175386564
97,32.27852618733899
98,31.10806270063654
99,28.22351866048521
100,27.599928365444804
101,25.222653274819436
102,25.42264265887556
103,24.630458667189146
104,21.378739118587447
105,20.87041119034826
106,21.26822828850095
107,20.768847240987064
108,19.875975229294692
109,20.16866673869253
110,20.898777054236398
111,19.137421907038405
112,18.95378820426987
113,19.175335159833345
114,18.3557468485453
