nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(3845.51, 1342.99)","(3780.65, 1490.24)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(3739.18, 1525.74)","(3721.69, 1519.52)","(3786.42, 1519.44)"
"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(3845.63, 1242.79)","(3845.57, 1225.18)","(3786.59, 1366.48)","(3745.5, 1501.91)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(3704.17, 1525.38)","(3698.43, 1519.38)","(3757.17, 1525.48)"
"(3798.3, 1013.43)","(3845.59, 1084)","(3845.46, 1078)","(3845.43, 1148.78)","(3780.69, 1148.84)","(3845.61, 1078.02)","(3845.62, 1154.31)","(3798.28, 1154.65)","(3845.56, 1248.73)","(3816, 1243.03)","(nan, nan)","(nan, nan)","(3845.62, 1249.05)","(3845.59, 1390.35)","(nan, nan)","(3798.38, 1007.54)","(3845.44, 1007.56)","(nan, nan)","(3845.58, 1013.55)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"(3780.39, 1013.47)","(3845.45, 1089.83)","(3792.35, 1095.46)","(3786.53, 1154.59)","(3739.5, 1154.84)","(3845.54, 1089.79)","(3845.56, 1166.27)","(3780.51, 1154.77)","(3845.41, 1254.58)","(3786.53, 1248.86)","(3739.05, 1384.09)","(3721.76, 1525.36)","(nan, nan)","(nan, nan)","(nan, nan)","(3774.8, 1007.47)","(3786.69, 1012.97)","(nan, nan)","(3845.48, 1019.07)","(nan, nan)","(nan, nan)","(nan, nan)","(3656.86, 1543.24)","(3651.37, 1531.4)","(3739.34, 1537.2)"
"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(3816.03, 1249.07)","(nan, nan)","(nan, nan)","(nan, nan)","(3845.54, 1254.72)","(3845.57, 1390.04)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"(3739.58, 1019.24)","(3792.05, 1095.64)","(3768.83, 1095.71)","(3786.33, 1160.44)","(3721.77, 1172.12)","(3798.53, 1095.75)","(3845.52, 1178.11)","(3745.59, 1183.87)","(3786.14, 1260.55)","(3745.51, 1260.51)","(3704.01, 1389.93)","(3704.14, 1531.24)","(3792.71, 1260.59)","(3845.44, 1390.35)","(nan, nan)","(3739.57, 1013.27)","(3751.09, 1013.23)","(nan, nan)","(3792.33, 1019.18)","(nan, nan)","(nan, nan)","(nan, nan)","(3651.31, 1560.67)","(3656.88, 1537.33)","(3733.41, 1543.14)"
"(3704, 1025)","(3751.18, 1101.44)","(3739.09, 1101.47)","(3733.44, 1178.18)","(3668.84, 1178.17)","(3780.7, 1101.52)","(3845.46, 1183.93)","(3745.1, 1201.48)","(3745.59, 1266.47)","(3733.35, 1260.65)","(3692.23, 1390.12)","(3715.77, 1531.58)","(3786.18, 1272.26)","(3757.02, 1419.37)","(3845.44, 1354.75)","(3698.47, 1013.42)","(3721.83, 1013.41)","(nan, nan)","(3751.37, 1030.87)","(3845.48, 1384.24)","(3845.51, 1384.25)","(3845.5, 1349.03)","(3657, 1566.68)","(3662.93, 1549.07)","(3739.42, 1554.92)"
"(3674.63, 1030.91)","(3704.32, 1101.45)","(3686.45, 1101.48)","(3674.65, 1172.33)","(3633.29, 1178.17)","(3745.14, 1101.49)","(3792.61, 1189.75)","(3727.69, 1213.57)","(3721.68, 1278.28)","(3692.41, 1278.17)","(3657.11, 1401.83)","(3710.08, 1531.43)","(3745.21, 1283.86)","(3733.28, 1419.37)","(3845.42, 1348.82)","(3674.57, 1019.05)","(3692.15, 1019.06)","(nan, nan)","(3727.53, 1036.87)","(3845.55, 1366.61)","(3845.53, 1372.37)","(3845.46, 1342.89)","(3656.92, 1566.73)","(3663.01, 1549.14)","(3739.42, 1548.96)"
"(3645.27, 1036.78)","(3692.25, 1101.76)","(3651.37, 1107.2)","(3651.18, 1189.9)","(3597.85, 1184.03)","(3715.93, 1101.62)","(3780.58, 1189.85)","(3698.44, 1236.98)","(3692.41, 1284.1)","(3662.86, 1284.07)","(3645.36, 1402)","(3704.23, 1531.48)","(3715.83, 1289.64)","(3657.04, 1419.38)","(3780.67, 1372.43)","(3645.22, 1019.19)","(3651.39, 1019.17)","(nan, nan)","(3697.95, 1042.65)","(3816.01, 1395.98)","(nan, nan)","(3786.32, 1348.75)","(3651.03, 1572.38)","(3656.9, 1555.04)","(3739.27, 1543.33)"
"(3609.9, 1036.84)","(3651.12, 1101.71)","(3627.47, 1107.18)","(3609.79, 1184.02)","(3557.06, 1172.27)","(3692.06, 1101.71)","(3757, 1178.22)","(3691.96, 1242.53)","(3657.11, 1278.16)","(3645.14, 1278.25)","(3639.41, 1419.37)","(3704.15, 1531.66)","(3692.01, 1278.13)","(3603.86, 1396.02)","(3739.61, 1378.22)","(3609.75, 1019.15)","(3633.48, 1019.29)","(nan, nan)","(3657.07, 1048.34)","(3786.55, 1413.64)","(3792.11, 1395.99)","(3745.27, 1354.64)","(3651.04, 1572.39)","(3657.03, 1560.79)","(3739.16, 1548.97)"
