Left_shoulder_Y_Coordinate,Right_shoulder_Y_Coordinate
-144.21499999999992,-144.135
-147.11500000000024,-146.98000000000002
-150.0150000000001,-149.82500000000005
-144.10500000000002,-141.13500000000022
-138.19499999999994,-132.44499999999994
-136.84500000000003,-131.06999999999994
-135.49500000000012,-129.69500000000016
-141.04500000000007,-135.29500000000007
-140.865,-135.40499999999997
-132.32000000000016,-132.26000000000022
-135.19499999999994,-135.2650000000001
-135.27999999999997,-135.40999999999985
-135.2249999999999,-135.4849999999999
-135.31749999999988,-135.5324999999998
-135.40999999999985,-135.57999999999993
-135.36249999999995,-135.63750000000005
-135.31500000000005,-135.69500000000016
-135.47500000000014,-141.2750000000001
-132.60500000000002,-138.17500000000018
-135.385,-141.24500000000012
-138.135,-138.5050000000001
-136.70499999999993,-139.74500000000012
-135.27499999999986,-140.9849999999999
-133.90499999999975,-139.5949999999998
-132.53500000000008,-138.20500000000015
-137.86000000000013,-138.16000000000008
-137.95000000000005,-138.27999999999997
-135.375,-135.58500000000004
-138.05999999999995,-138.29999999999973
-129.44499999999994,-129.79499999999985
-121.01999999999998,-126.75999999999999
-115.05000000000018,-126.73000000000002
-112.02500000000009,-129.66499999999996
-109.15999999999985,-132.57999999999993
-112.08249999999998,-132.65750000000025
-115.00500000000011,-132.73500000000013
-114.93000000000006,-135.45499999999993
-114.85500000000002,-138.17499999999995
-120.69499999999994,-138.16499999999996
-117.92999999999984,-135.44999999999982
-120.84500000000003,-132.39499999999998
-120.87500000000023,-126.69500000000016
-117.68500000000017,-123.75500000000011
-138.18999999999983,-126.69999999999982
-123.88500000000022,-129.6650000000002
-128.24,-131.0999999999999
-132.59500000000003,-132.53500000000008
-129.79999999999995,-135.58999999999992
-135.46000000000004,-135.61000000000013
-141.32500000000005,-135.40499999999997
-138.25,-132.52999999999997
-138.4749999999999,-132.42499999999995
-129.48500000000013,-117.82500000000005
-129.65499999999975,-123.76499999999987
-135.24,-135.18000000000006
-135.27999999999997,-135.26999999999998
-135.30999999999995,-135.25
-129.865,-135.3349999999998
-135.29999999999995,-135.26
-135.35000000000014,-135.29999999999995
-135.32500000000005,-135.5150000000001
-135.32999999999993,-141.1400000000001
-135.3349999999998,-141.05499999999984
-133.94749999999976,-136.89249999999993
-132.55999999999995,-132.73000000000002
-129.60500000000025,-129.6300000000001
-126.65000000000009,-126.52999999999997
-112.08999999999992,-117.74000000000001
-120.7349999999999,-126.71499999999992
-112.24000000000001,-117.92000000000007
-120.75500000000011,-120.85500000000002
-115.02999999999997,-126.46000000000004
-120.83000000000015,-132.53999999999996
-129.41000000000008,-135.2900000000002
-126.75500000000011,-132.54500000000007
-129.48000000000002,-135.28999999999996
-132.365,-132.65499999999997
-129.05999999999995,-129.52999999999997
-126.41499999999996,-126.79500000000007
-120.94000000000005,-126.76000000000022
-134.9949999999999,-135.2349999999999
-129.36500000000024,-129.60500000000025
-132.4949999999999,-132.79500000000007
-129.74000000000024,-135.46000000000004
-135.4599999999998,-141.1199999999999
-135.45500000000015,-141.07500000000005
-141.23500000000013,-141.24500000000012
-135.21000000000004,-140.83999999999992
-132.49,-138.03999999999996
-140.73000000000002,-140.72000000000003
-140.76999999999998,-135.26999999999998
-140.83500000000004,-140.68499999999995
-135.5050000000001,-135.22500000000014
-141.0150000000001,-140.85500000000002
-138.49,-138.1300000000001
-129.44999999999982,-123.84999999999991
-123.52500000000009,-117.99500000000012
-126.62999999999988,-121.0
-126.56500000000005,-126.64499999999998
-117.8599999999999,-112.16999999999985
-123.72499999999991,-117.77499999999986
-129.6300000000001,-129.62000000000012
-123.97000000000025,-123.99000000000024
-126.91000000000008,-126.79999999999995
-132.5400000000002,-132.66000000000008
-132.54499999999985,-132.54499999999985
-137.97000000000003,-138.0300000000002
-132.57000000000016,-132.6500000000001
-132.30000000000018,-132.50000000000023
-132.5150000000001,-138.06500000000005
-137.9849999999999,-138.135
-132.51499999999987,-138.05500000000006
-129.55500000000006,-135.41499999999996
-115.15499999999997,-120.95500000000015
-114.83000000000015,-120.85000000000014
-114.99000000000001,-132.49
-112.02500000000009,-123.66500000000019
-117.92499999999995,-129.60500000000002
-129.67499999999995,-129.635
-117.94000000000005,-123.88000000000011
-132.3800000000001,-132.34000000000015
-117.80499999999984,-123.56499999999983
-120.57499999999982,-126.5949999999998
-123.68000000000006,-123.65000000000009
-120.82499999999982,-114.94499999999971
-116.58500000000004,-119.37999999999988
-112.34500000000025,-123.81500000000005
-112.18499999999995,-123.77500000000009
-109.28500000000008,-120.83500000000004
-123.61500000000001,-129.50499999999988
-115.04999999999995,-120.83999999999992
-123.78999999999996,-129.54999999999995
-120.99000000000001,-120.76999999999998
-126.74000000000024,-120.7800000000002
-123.55000000000018,-117.68000000000006
-129.31500000000005,-129.385
-132.38999999999987,-132.20000000000005
-135.19499999999994,-129.43499999999995
-135.19499999999994,-129.57500000000005
-135.26499999999987,-129.61499999999978
-129.69500000000016,-129.59500000000025
-135.23500000000013,-129.2750000000001
-135.12000000000012,-129.4000000000001
-135.385,-135.30500000000006
-129.55999999999995,-129.52999999999997
-135.33999999999992,-141.12999999999988
-117.94500000000016,-118.04500000000007
-112.19000000000005,-129.69000000000005
-109.24000000000001,-126.54999999999995
-111.97499999999991,-123.69499999999994
-118.00499999999988,-123.87499999999977
-118.11000000000013,-129.66000000000008
-117.83999999999992,-123.8599999999999
-123.75999999999999,-129.68999999999983
-129.46500000000015,-129.55500000000006
-129.50499999999988,-135.2249999999999
-129.49,-135.16000000000008
-129.66000000000008,-129.80999999999995
-135.0949999999998,-135.0849999999998
-135.0,-135.21000000000004
-132.46499999999992,-132.4749999999999
-135.2249999999999,-134.9749999999999
-135.42500000000018,-135.21500000000015
-135.08000000000015,-135.12000000000012
-135.07500000000005,-134.98500000000013
-129.3549999999998,-129.38499999999976
-123.87999999999988,-129.47000000000003
-129.42499999999995,-129.30500000000006
-135.23000000000002,-129.48000000000002
-135.27499999999986,-135.18499999999995
-118.0,-129.76999999999998
-119.45749999999998,-131.13249999999994
-120.91499999999996,-132.49500000000012
-130.88249999999994,-136.71749999999997
-140.85000000000014,-140.94000000000005
-135.3449999999998,-135.54499999999985
-135.07000000000016,-135.09000000000015
-132.29999999999995,-132.26
-132.1300000000001,-126.20000000000005
-123.88499999999976,-123.74499999999989
-129.37500000000023,-123.7650000000001
-120.93499999999995,-120.7349999999999
-129.28999999999996,-123.75
-135.03999999999996,-129.40999999999985
-129.68000000000006,-129.55000000000018
-138.01999999999998,-132.54999999999995
-135.26000000000022,-135.24000000000024
-129.6650000000002,-135.35500000000025
-117.86500000000001,-123.78500000000008
-126.47500000000014,-132.30500000000006
-112.01999999999998,-132.34500000000003
-114.96499999999992,-135.31000000000017
-123.71000000000004,-138.43999999999983
-132.64999999999986,-140.9599999999998
-135.2199999999998,-135.33500000000004
-134.93499999999995,-138.43999999999983
-132.4599999999998,-132.69000000000005
-132.24,-135.365
-135.17499999999995,-120.8599999999999
