Frame,Angle
0,84.27344793749648
1,117.79969951550122
2,142.5142362630177
3,150.23334930504492
4,145.975404518971
5,149.62832654619635
6,145.5240099901697
7,150.3513855097946
8,147.85276294541688
9,146.2159428488537
10,148.2759833995891
11,151.24735886873344
12,154.4718728328484
13,159.0751688644616
14,163.84899861454375
15,164.98602467320276
16,162.10512179996698
17,155.09927647517452
18,143.06406401829318
19,131.41338122636137
20,118.67692775079986
21,113.87905688042967
22,104.18801742359065
23,97.54954845281672
24,89.57481204080071
25,86.0278416234558
26,71.7995993888128
27,66.74768312857417
28,61.63903105176238
29,60.13797082061552
30,63.01072942707319
31,69.80815967034656
32,76.79115451326115
33,85.51698700381306
34,95.77815461876372
35,101.7436323400714
36,112.86579916136087
37,124.27057676033506
38,138.73592564877808
39,147.53811144187102
40,159.0157065222212
41,162.47991339107972
42,164.87786489130127
43,160.338317899622
44,157.30769779532227
45,149.3361994047342
46,143.68486135110953
47,139.1885955084014
48,139.428499635868
49,142.21874609263887
50,146.70621960716187
51,151.65434269799113
52,157.21184399368826
53,160.17181693377034
54,156.98198523910244
55,151.17367305674054
56,145.1601362798301
57,134.09911716067802
58,122.6319262767806
59,113.36786118262641
60,102.78502764520148
61,92.10321822357206
62,84.34556265901566
63,77.90370567862145
64,73.04603892996684
65,69.38138977012531
66,64.56797191824708
67,63.927381233739524
68,65.20953146076015
69,67.3931531627878
70,72.68116983406037
71,84.44913970293607
72,93.75078732629964
73,104.21549853815058
74,115.31092814962942
75,130.75925837002856
76,141.1865982325256
77,152.77429496209817
78,158.55561202031987
79,164.55167037604394
80,161.89353594957464
81,159.75169738867461
82,153.5096510258134
83,149.32698910136716
84,140.7457855822355
85,136.50059606473755
86,132.91337569872843
87,133.30777527910462
88,134.46839091119674
89,142.03770337146133
90,149.123641390977
91,154.98478505217923
92,158.36300327499535
93,156.340483062303
94,149.50601751495088
95,140.56288548214616
96,130.3907150244442
97,117.39711803091221
98,104.87804115984167
99,93.14108084940924
100,81.35661290838279
101,71.0629029248689
102,62.46672814658815
103,60.77436034390576
104,57.234492501845175
105,55.18188066362839
106,55.09859904311293
107,58.74248898145953
108,59.34781412021539
109,66.1650273396765
110,75.59823812335706
111,84.91649955491219
112,96.79010529666581
113,110.00183170938222
114,123.2034595518805
115,132.83147074390916
116,144.60892081007398
117,149.78063928924084
118,154.76220523037125
119,154.30816438514495
120,154.65866760953003
121,153.10151580579281
122,153.3320065605731
123,149.02266399801107
124,146.66976148757482
125,144.83628779671506
126,142.02002532743262
127,141.5082741879861
128,147.3173765760323
129,152.44831367073036
130,156.09418093343504
131,152.65006861923536
132,146.72118835442703
133,138.16672712267797
134,130.2119599059698
135,123.50651558272294
136,123.50651558272293
137,98.79197883520646
138,74.07744208768997
