Frame,Angle
0,95.63484826309337
1,128.2001093069457
2,160.07839206131015
3,162.25513253647807
4,163.26588978476047
5,163.8148338064056
6,164.8180560206139
7,167.29529850881642
8,168.97216998600643
9,170.79471752757027
10,172.84314095781298
11,172.20520531823993
12,170.92290188295183
13,166.10777598130232
14,162.39326298038335
15,157.9914629011071
16,156.22406127223556
17,154.13677848232365
18,155.95748167910682
19,157.3141533492285
20,159.71403253328893
21,160.4291692980373
22,163.1310691508607
23,163.84101488364905
24,165.51718284722554
25,168.02651041782246
26,168.09266589538
27,164.47980225777258
28,159.38872278439231
29,154.75226126822878
30,149.6330341115184
31,145.1060049451599
32,142.52202249676776
33,142.39080992670534
34,140.80269418524517
35,140.2758329423528
36,142.8042816467543
37,144.49697975247028
38,148.28397887059737
39,151.64820432124017
40,155.0533560265123
41,157.5464094912664
42,160.22085668692353
43,160.92886008228305
44,161.48455945682215
45,159.11650088584366
46,156.92566129063837
47,158.5675390151026
48,161.0533114172776
49,164.66198402899312
50,167.52696260106134
51,172.14985129896303
52,172.11321063274121
53,168.91117392111485
54,166.38063772131295
55,167.66199509440585
56,164.61133627293302
57,166.32278638558728
58,167.91081424358384
59,168.53047452509207
60,168.7170279301804
61,171.9562715237362
62,171.80789803145623
63,173.46872133268926
64,173.36116730284758
65,170.07692517857834
66,163.1460648070631
67,158.64291000989166
68,152.77113602972707
69,148.5384160851543
70,147.35009207965652
71,148.62752627566985
72,148.16285466972462
73,147.88459283268566
74,149.08887167801004
75,150.5821198958749
76,152.4449323874088
77,156.09377198883018
78,156.83950401018325
79,158.98059182610405
80,157.30700869978955
81,156.71858194847607
82,154.51290219858248
83,156.35158249645986
84,153.24798968773345
85,155.54746133247664
86,156.63429617833515
87,158.34422321648424
88,161.5717822866458
89,166.73447670167198
90,167.2728313895285
91,169.65376253298058
92,168.3030262257351
93,168.22293269860725
94,168.06819020625525
95,168.80068420355806
96,169.45319480862943
97,172.11343428859885
98,171.08119977145648
99,171.72672253352766
100,172.5518413532379
101,171.35095029242984
102,168.92095743837953
103,167.07888328687696
104,162.63770320513157
105,158.31039676631093
106,152.47535588433698
107,149.22624044364326
108,145.11341977645847
109,142.68242864995125
110,142.01449929250114
111,140.51006758685628
112,141.9396548708036
113,142.7360515001066
114,144.6220914198638
115,143.4052008519423
116,147.4620752505878
117,147.3554409555661
118,147.96646444847897
119,147.9254728142397
120,149.34311889213913
121,150.86939396768716
122,152.85119938673952
123,154.88808890954385
124,156.4828097012297
125,160.42744013493268
126,163.84368374051712
127,167.09481186687594
128,169.25508326689163
129,169.90406040124793
130,170.05615943175462
131,166.67463148616898
132,163.15492057747588
133,161.58119452310706
134,162.02115763013097
135,160.1477021286088
136,160.1477021286088
137,128.26941937424436
138,96.39113661987989
