,ankle,knee,hip,shoulder
ankle,,0.9534951559128837,0.1528195790687425,-0.5037336351312268
knee,0.9534951559128837,,0.3084781941657718,-0.3270847527419606
hip,0.1528195790687425,0.3084781941657718,,0.6974055969625459
shoulder,-0.5037336351312268,-0.3270847527419606,0.6974055969625459,
