Frame,Angle
0,70.66607547519492
1,94.22143396692655
2,117.77679245865819
3,117.77679245865819
4,105.0048850807658
5,93.09826343462795
6,94.64815976854004
7,98.19126439535741
8,100.86249923846792
9,121.16604158734933
10,133.81601250610797
11,132.27209138074124
12,126.04328328275504
13,121.35084335902204
14,113.06791236637821
15,112.72364905952978
16,112.45721540330928
17,115.22538541633253
18,116.0986142539511
19,116.39539989383717
20,113.95980756305396
21,114.22026601072909
22,114.17902921479667
23,114.01689721224926
24,114.78462655001309
25,114.73579080637668
26,111.76563752655792
27,107.14841842257832
28,102.60396093359621
29,97.28444557045593
30,94.79771849939746
31,97.43968405838444
32,104.43933720892898
33,112.37592968478913
34,120.21048368506999
35,124.55332515707627
36,128.14885364943225
37,128.14964958399221
38,129.43169379792582
39,129.185994011273
40,130.6318588039536
41,127.48335523237601
42,124.840102294103
43,119.74224576808538
44,118.37211382348495
45,120.91343630916484
46,126.46732581326424
47,126.45352703569587
48,127.68902770750138
49,128.3605614035775
50,124.83666044771772
51,118.53269211132795
52,116.19378633867983
53,114.24478859676498
54,111.25534900645484
55,111.27144936428958
56,110.84266611628425
57,112.53777663927144
58,113.09124122420523
59,112.48064973397555
60,111.02246908917289
61,112.87596511639123
62,113.06509585037433
63,112.20348296080223
64,109.81727665591248
65,106.94421123801543
66,99.34394516340977
67,93.23937019339085
68,90.97782700160185
69,93.4291081419182
70,100.7886063762574
71,110.4247692416854
72,120.46306635188239
73,128.159080283447
74,134.99596159946384
75,136.56979783258544
76,139.24766538132377
77,137.3409206474716
78,140.21879698050154
79,134.0669133165663
80,131.0950833175651
81,125.00723873073463
82,128.47017142703726
83,127.93199491335756
84,130.13609620171
85,128.0926174812453
86,135.50330979604587
87,131.8048031835756
88,124.79649316920904
89,120.5011000923987
90,119.63792050426358
91,110.95960534157429
92,109.19600757013698
93,109.35484543534332
94,111.05643110754318
95,109.69980480673145
96,109.68735978619364
97,108.37817138538391
98,109.32087032140672
99,110.32173654153317
100,111.00722698711347
101,108.65082529480333
102,106.51693700939374
103,101.48809159883949
104,95.01426723469689
105,90.73833937087377
106,88.97715021564409
107,87.51426826641267
108,94.6971280112774
109,103.65792532427625
110,110.36093048849844
111,119.67396014226759
112,127.50801594224457
113,128.84204598310671
114,129.62351357802976
115,132.14822970084796
116,132.04303170663863
117,132.13146236293986
118,132.74231375415104
119,136.20403879019494
120,137.60745300803384
121,136.67829256717584
122,136.48765119845726
123,134.6448396825528
124,132.68906642392113
125,127.5489141519897
126,125.94902384919658
127,123.58976557962724
128,125.11226835518639
129,133.11470620431317
130,133.59702762062386
131,132.896514521082
132,133.08933712429388
133,130.1987836977719
134,117.77679245865819
135,117.77679245865819
136,117.77679245865819
137,94.22143396692655
138,70.66607547519492
