,ankle,knee,hip,shoulder
ankle,,0.8420915076018932,0.19665448336058639,-0.42562836385411046
knee,0.8420915076018932,,0.26128442323224377,-0.34917840156971575
hip,0.19665448336058639,0.26128442323224377,,0.6228423386502804
shoulder,-0.42562836385411046,-0.34917840156971575,0.6228423386502804,
