Left_ankle_Y_Coordinate,Right_ankle_Y_Coordinate
88.29500000000007,270.69000000000005
67.80500000000006,265.125
85.57500000000005,250.4150000000002
100.02999999999997,244.625
100.1400000000001,253.47000000000003
132.31999999999994,247.49000000000024
147.33000000000015,255.8699999999999
179.82500000000005,247.46000000000004
188.44499999999994,262.0250000000001
220.64999999999986,241.53500000000008
235.30499999999984,232.88999999999987
244.3800000000001,229.27499999999986
244.17000000000007,209.07999999999993
247.18500000000017,185.47000000000003
252.94499999999994,153.13500000000022
261.85000000000014,135.5050000000001
267.8900000000001,126.52999999999997
267.84000000000015,102.94000000000005
261.7449999999999,85.65000000000009
256.365,79.40499999999975
247.57499999999982,68.07500000000005
247.44000000000005,64.97499999999991
244.43000000000006,70.73000000000002
253.09500000000003,91.1099999999999
267.595,106.17499999999995
264.8299999999999,120.65499999999997
252.96499999999992,170.48999999999978
250.07999999999993,170.84500000000003
238.2199999999998,185.55999999999995
229.5250000000001,197.16999999999985
194.53999999999996,217.73500000000013
182.50499999999988,235.48999999999978
153.09500000000025,241.365
138.07000000000016,241.43500000000017
123.69499999999994,250.18000000000006
94.36500000000024,253.11499999999978
82.68000000000006,253.33500000000026
82.53999999999996,264.6700000000001
76.62000000000012,264.77
88.44000000000005,259.22
91.41499999999996,265.1400000000001
103.07999999999993,256.33500000000004
103.18499999999995,256.19000000000005
147.28500000000008,250.2249999999999
164.67499999999995,265.0450000000001
173.89499999999998,258.72500000000014
194.28500000000008,244.31500000000005
223.8499999999999,235.56500000000005
235.7550000000001,235.33999999999992
238.7249999999999,229.56500000000005
241.75,191.52499999999986
253.37999999999988,176.8599999999999
264.77,153.26999999999998
267.84000000000015,135.26999999999998
273.5,126.5
270.60000000000014,120.45999999999981
259.24,88.5
256.56999999999994,82.45000000000005
244.78499999999985,79.53999999999996
244.73500000000013,79.60500000000002
241.45000000000005,85.67500000000018
238.64499999999998,99.95000000000005
241.54500000000007,91.63499999999999
247.50499999999988,111.78499999999985
250.2750000000001,147.17499999999995
247.18000000000006,173.42500000000018
229.65499999999997,182.73000000000002
206.0,217.80500000000006
188.75499999999988,229.17000000000007
176.635,235.80500000000006
150.00499999999988,241.41499999999996
141.27999999999997,244.32500000000005
126.29999999999995,253.05000000000018
126.17999999999984,261.80999999999995
73.73000000000002,273.31999999999994
94.18500000000017,256.0999999999999
85.47000000000003,270.80500000000006
97.16500000000019,273.74
100.07000000000016,262.33500000000004
103.09500000000003,259.33000000000015
106.02500000000009,262.0150000000001
117.97499999999991,253.2349999999999
158.75,247.69499999999994
176.74500000000012,258.93000000000006
211.80499999999984,258.905
235.03999999999996,270.44499999999994
247.0,247.23000000000002
253.32499999999982,235.52999999999997
264.8899999999999,229.5849999999998
270.55999999999995,194.27999999999997
276.385,176.27999999999997
270.8649999999998,158.7750000000001
276.33000000000015,135.52499999999986
256.4950000000001,117.66000000000008
264.9949999999999,97.21500000000015
262.1749999999997,82.46499999999992
259.0999999999999,79.61499999999978
253.1300000000001,82.45999999999981
253.30999999999995,88.28999999999996
250.2299999999998,94.15999999999985
241.48000000000002,97.11999999999989
244.19000000000005,105.88999999999987
244.51,126.36999999999989
238.5999999999999,143.98000000000002
250.23500000000013,150.57999999999993
235.41999999999985,197.23500000000013
223.79999999999973,206.01999999999975
214.89499999999998,223.92999999999984
185.43500000000017,238.40499999999997
173.35000000000014,255.91499999999996
150.05999999999995,261.85000000000014
123.64499999999998,273.3599999999999
114.81500000000005,259.155
108.73000000000002,262.0450000000001
99.99999999999977,262.02
103.07500000000005,259.0799999999999
100.06999999999994,273.7650000000001
106.04500000000007,270.8799999999999
106.04999999999995,270.95500000000015
129.42000000000007,270.6700000000001
135.67500000000018,259.1700000000001
164.87000000000012,247.53500000000008
191.54499999999985,247.59000000000015
220.97000000000025,244.625
229.88999999999987,267.69000000000005
,247.3599999999999
,232.67000000000007
,188.47000000000003
