,ankle,knee,hip,shoulder
ankle,,0.917829591781007,0.24292263340197578,-0.6409160667987236
knee,0.917829591781007,,0.42002535589345846,-0.5258867599054469
hip,0.24292263340197578,0.42002535589345846,,0.4407910261370419
shoulder,-0.6409160667987236,-0.5258867599054469,0.4407910261370419,
