nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(2844.37, 1390.04)","(2879.8, 1443.28)","(2856.44, 1448.87)","(2862.13, 1513.63)","(2838.42, 1525.72)","(2891.24, 1443.24)","(2897.73, 1519.59)","(2850.05, 1531.62)","(2885.47, 1578.71)","(2856.29, 1578.65)","(2832.71, 1678.65)","(2850.36, 1790.37)","(2891.82, 1578.83)","(2891.24, 1684.6)","(2985.93, 1666.82)","(2850.09, 1384.22)","(2850.31, 1384.4)","(nan, nan)","(2879.85, 1390.39)","(3027.01, 1702.13)","(3032.64, 1678.73)","(2991.73, 1649.16)","(2803.19, 1808.25)","(2809.08, 1802.35)","(2868.06, 1807.93)"
[2835.585 1390.205],[2865.17 1443.2 ],[2850.43  1445.965],[2853.37  1507.745],"(nan, nan)",[2876.67 1443.22],[2894.54  1519.615],"(nan, nan)",[2868.055 1578.65 ],[2850.355 1578.57 ],[2820.935 1678.565],[2847.5  1781.55],[2885.765 1578.745],[2867.795 1681.675],[2918.195 1725.75 ],[2835.5   1387.085],[2844.405 1387.16 ],"(1601.96, 1054.64)",[2865.23  1390.345],[2918.115 1755.025],[2935.485 1743.47 ],[2926.985 1725.72 ],"(nan, nan)","(nan, nan)",[2865.035 1796.29 ]
"(2826.8, 1390.37)","(2850.54, 1443.12)","(2844.42, 1443.06)","(2844.61, 1501.86)","(2803.32, 1519.6)","(2862.1, 1443.2)","(2891.35, 1519.64)","(2838.5, 1549.03)","(2850.64, 1578.59)","(2844.42, 1578.49)","(2809.16, 1678.48)","(2844.64, 1772.73)","(2879.71, 1578.66)","(2844.35, 1678.75)","(2850.46, 1784.68)","(2820.91, 1389.95)","(2838.5, 1389.92)","(nan, nan)","(2850.61, 1390.3)","(2809.22, 1807.92)","(2838.33, 1808.21)","(2862.24, 1802.28)","(2803.31, 1802.11)","(2809, 1796.43)","(2862.01, 1784.65)"
"(2803.15, 1390.23)","(2844.26, 1443.11)","(2832.73, 1442.97)","(2826.81, 1519.47)","(2791.43, 1519.69)","(2844.64, 1443.12)","(2879.74, 1519.63)","(2832.48, 1548.96)","(2844.38, 1578.45)","(2838.33, 1578.41)","(2809.22, 1684.44)","(2850.07, 1772.83)","(2850.29, 1578.57)","(2820.83, 1690.3)","(2856.2, 1778.8)","(2803.26, 1390)","(2809.11, 1389.87)","(nan, nan)","(2844.27, 1390.45)","(2815.09, 1807.98)","(2838.62, 1808.2)","(2873.88, 1796.41)","(2803.19, 1802.35)","(2803.41, 1802.1)","(2856.35, 1784.55)"
"(2791.47, 1390.28)","(2820.92, 1442.99)","(2809.08, 1437.49)","(2809.02, 1513.67)","(2761.87, 1513.7)","(2832.75, 1443.03)","(2868.07, 1513.72)","(2814.99, 1554.87)","(2838.58, 1578.38)","(2838.42, 1578.34)","(2803.22, 1673)","(2850.41, 1772.99)","(2844.23, 1578.52)","(2797.2, 1678.68)","(2897.38, 1672.6)","(2797.22, 1390.04)","(2797.45, 1389.94)","(nan, nan)","(2820.79, 1395.86)","(2932.54, 1714.02)","(2932.68, 1707.94)","(2897.64, 1655.04)","(2803.4, 1808.13)","(2815.01, 1802.32)","(2867.91, 1802)"
"(2762.1, 1390.05)","(2803.2, 1442.98)","(2796.97, 1437.52)","(2791.47, 1507.92)","(2744.2, 1490.37)","(2815.07, 1442.94)","(2856.23, 1502.07)","(2803.35, 1548.96)","(2814.91, 1578.39)","(2809, 1578.37)","(2803.22, 1673.02)","(2850.55, 1772.89)","(2826.75, 1578.53)","(2756.39, 1672.77)","(2867.91, 1684.6)","(2762, 1389.81)","(2779.64, 1384.39)","(nan, nan)","(2803.13, 1390.23)","(2850.52, 1767)","(nan, nan)","(2885.49, 1672.72)","(2820.78, 1807.89)","(2826.78, 1802.11)","(2873.77, 1801.97)"
"(2755.85, 1389.88)","(2791.54, 1437.31)","(2779.55, 1437.4)","(2767.85, 1513.57)","(2715.05, 1484.48)","(2797.58, 1437.05)","(2850.16, 1490.33)","(2797.43, 1537.17)","(2803.24, 1572.8)","(2803.38, 1572.84)","(2803.23, 1678.57)","(2856.23, 1778.79)","(2803.21, 1572.8)","(2744.32, 1666.79)","(2844.4, 1725.67)","(2755.91, 1384.47)","(2756.33, 1384.2)","(nan, nan)","(2791.4, 1389.99)","(2838.5, 1796.42)","(2844.59, 1796.32)","(2862.09, 1743.4)","(2815.02, 1808.19)","(2820.97, 1807.92)","(2885.73, 1802)"
"(2738.32, 1384.19)","(2761.92, 1437.05)","(2750.25, 1437.2)","(2750.43, 1507.93)","(2702.89, 1484.25)","(2785.44, 1431.58)","(2838.57, 1484.55)","(2791.47, 1531.51)","(2785.55, 1572.67)","(2785.52, 1572.75)","(2803.28, 1678.64)","(2862.2, 1767.09)","(2791.22, 1572.66)","(2709.07, 1655.03)","(2797.36, 1708.13)","(2732.64, 1378.34)","(2749.96, 1378.31)","(nan, nan)","(2761.99, 1384.33)","(2802.97, 1749.28)","(2797.27, 1737.49)","(2809.05, 1713.73)","(2838.31, 1802.03)","(2844.45, 1790.53)","(2891.35, 1778.6)"
"(2714.86, 1378.38)","(2755.97, 1431.15)","(2744.2, 1431.4)","(2720.8, 1490.38)","(2685.49, 1478.11)","(2767.95, 1431.05)","(2820.8, 1484.31)","(2768, 1525.61)","(2756.28, 1566.71)","(2756.37, 1566.77)","(2779.63, 1667.01)","(2850.42, 1766.8)","(2756.34, 1566.77)","(2691.39, 1631.62)","(2762.03, 1713.85)","(2709.2, 1378.1)","(2726.77, 1366.61)","(nan, nan)","(2755.94, 1378.39)","(2767.82, 1749.23)","(2762.02, 1731.72)","(2785.39, 1713.94)","(2826.7, 1796.28)","(2838.51, 1784.68)","(2873.93, 1767.22)"
"(2703.12, 1372.45)","(2732.63, 1430.99)","(2714.95, 1431.13)","(2708.99, 1484.24)","(2662.04, 1449.1)","(2750.18, 1425.33)","(2803.36, 1478.44)","(2756.08, 1519.56)","(2750.2, 1560.68)","(2755.96, 1560.8)","(2762.17, 1666.59)","(2850.27, 1761.16)","(2744.4, 1554.9)","(2661.79, 1625.9)","(2744.29, 1713.72)","(2703.3, 1378.15)","(2708.95, 1360.59)","(nan, nan)","(2738.44, 1383.86)","(2726.72, 1749.31)","(2732.56, 1737.57)","(2755.93, 1708.08)","(2838.56, 1796.28)","(2844.58, 1784.53)","(2862.25, 1766.75)"
"(2685.43, 1372.41)","(2709.18, 1430.97)","(2702.78, 1431.01)","(2673.67, 1478.47)","(2650.21, 1437.45)","(2732.61, 1430.95)","(2797.18, 1478.19)","(2750.26, 1507.82)","(2715.02, 1549)","(2714.9, 1548.96)","(2756.26, 1654.99)","(2838.53, 1754.99)","(2720.87, 1549.11)","(2644.3, 1625.49)","(2703.08, 1719.95)","(2691.21, 1372.42)","(2697.32, 1360.58)","(nan, nan)","(2714.96, 1378.37)","(2685.51, 1755.14)","(2697.26, 1755.12)","(2709.25, 1725.83)","(2809.24, 1767.01)","(2832.54, 1766.78)","(2850.12, 1760.91)"
"(2667.74, 1360.69)","(2703.02, 1419.49)","(2667.8, 1425.22)","(2662.02, 1478.52)","(2632.37, 1443.06)","(2715.11, 1419.62)","(2791.3, 1472.45)","(2732.51, 1496.14)","(2703.17, 1549.08)","(2703.08, 1554.82)","(2750.26, 1643.19)","(2838.38, 1737.47)","(2703.31, 1543.26)","(2615.11, 1619.72)","(2662.18, 1725.63)","(2662.06, 1349.09)","(2685.48, 1349.08)","(nan, nan)","(2708.97, 1378.15)","(2644.06, 1761.17)","(2655.91, 1761.2)","(2679.48, 1731.57)","(2838.4, 1772.75)","(2838.61, 1767.01)","(2850.05, 1749.3)"
"(2656.05, 1354.72)","(2673.69, 1413.72)","(2655.95, 1413.68)","(2626.55, 1460.77)","(2609.05, 1431.45)","(2708.74, 1407.73)","(2762.13, 1472.54)","(2709.04, 1484.42)","(2685.42, 1537.33)","(2667.93, 1537.42)","(2738.29, 1637.44)","(2820.89, 1725.85)","(2697.3, 1537.22)","(2609.06, 1619.84)","(2620.9, 1731.71)","(2656.11, 1354.74)","(2661.93, 1348.87)","(nan, nan)","(2691.43, 1378.07)","(2602.84, 1761.14)","(2614.56, 1766.72)","(2644.1, 1749.3)","(2809.18, 1766.7)","(2820.85, 1760.93)","(2844.43, 1737.48)"
"(2632.47, 1354.85)","(2656.22, 1413.61)","(2620.84, 1407.74)","(2614.84, 1460.78)","(2602.92, 1436.94)","(2685.47, 1419.61)","(2750.13, 1472.53)","(2691.4, 1484.04)","(2661.78, 1537.4)","(2656.26, 1537.42)","(2709.3, 1631.45)","(2803.55, 1714.14)","(2662.14, 1537.42)","(2597.11, 1619.98)","(2608.67, 1731.61)","(2638.27, 1348.95)","(2650.2, 1348.9)","(nan, nan)","(2662.17, 1372.47)","(2567.91, 1755.17)","(2579.5, 1760.91)","(2609.08, 1754.9)","(2803.27, 1743.32)","(2809.2, 1725.93)","(2838.36, 1719.79)"
"(2614.91, 1348.97)","(2650.1, 1407.8)","(2614.7, 1407.66)","(2609.01, 1454.76)","(2602.87, 1443.11)","(2667.87, 1413.63)","(2738.48, 1466.6)","(2673.57, 1478.63)","(2655.79, 1537.36)","(2650.1, 1537.37)","(2702.92, 1631.49)","(2797.39, 1702.21)","(2656.01, 1537.29)","(2579.49, 1625.48)","(2567.85, 1737.46)","(2614.95, 1343.15)","(2626.6, 1343.19)","(nan, nan)","(2656.1, 1372.3)","(2532.39, 1754.98)","(2550.01, 1760.86)","(2579.4, 1755.09)","(2809, 1731.67)","(2809, 1725.74)","(2809.09, 1702.08)"
"(2608.56, 1348.78)","(2615.05, 1407.86)","(2602.86, 1407.82)","(2579.46, 1460.81)","(2561.91, 1437.02)","(2655.72, 1407.83)","(2709.01, 1472.28)","(2656.02, 1484.1)","(2626.67, 1537.38)","(2620.61, 1537.42)","(2679.47, 1643.22)","(2785.51, 1690.37)","(2644.29, 1537.4)","(2567.43, 1625.56)","(2555.81, 1737.53)","(2608.59, 1343.13)","(2614.5, 1343.11)","(nan, nan)","(2632.44, 1366.42)","(2514.7, 1749.29)","(2520.7, 1760.79)","(2561.56, 1760.69)","(2797.3, 1725.87)","(2797.33, 1720.04)","(2803.06, 1684.45)"
"(2579.4, 1348.78)","(2614.51, 1407.68)","(2585.35, 1401.85)","(2561.92, 1443.01)","(2555.93, 1437.26)","(2632.5, 1413.61)","(2697.24, 1472.39)","(2632.48, 1478.38)","(2614.64, 1537.44)","(2608.9, 1537.43)","(2656.14, 1649.12)","(2756.06, 1673)","(2620.62, 1537.47)","(2561.52, 1625.61)","(2526.41, 1743.29)","(2579.54, 1343.12)","(2597.12, 1343)","(nan, nan)","(2614.81, 1360.58)","(2485.36, 1755.01)","(2508.76, 1760.98)","(2538.15, 1760.71)","(2791.37, 1719.81)","(2785.53, 1719.67)","(2779.59, 1672.52)"
"(2562.07, 1348.79)","(2602.94, 1407.73)","(2573.62, 1401.83)","(2567.76, 1472.32)","(2526.4, 1443.27)","(2614.89, 1407.86)","(2673.79, 1478.38)","(2614.93, 1478.37)","(2602.94, 1543.15)","(2602.96, 1543.08)","(2632.34, 1660.74)","(2732.55, 1660.86)","(2602.94, 1543.11)","(2538.31, 1631.43)","(2520.33, 1743.34)","(2567.69, 1343.18)","(2567.97, 1343.06)","(nan, nan)","(2603.03, 1360.67)","(2491.07, 1749.25)","(2497.01, 1760.78)","(2520.69, 1760.76)","(2756.34, 1690.41)","(2755.92, 1678.74)","(2749.99, 1643.32)"
"(2555.87, 1349.12)","(2573.49, 1419.49)","(2561.51, 1413.67)","(2555.95, 1472.46)","(2532.39, 1478.13)","(2603.09, 1425.22)","(2655.82, 1478.47)","(2597.09, 1478.49)","(2573.59, 1543.29)","(2567.65, 1543.24)","(2608.94, 1649.08)","(2708.98, 1643.33)","(2591.19, 1549.08)","(2526.47, 1637.34)","(2514.46, 1749.26)","(2561.43, 1348.83)","(2561.88, 1343.33)","(nan, nan)","(2573.8, 1366.53)","(2473.79, 1760.69)","(2485.42, 1761.17)","(2514.64, 1760.91)","(2744.12, 1678.59)","(2726.75, 1672.83)","(2720.67, 1625.88)"
"(2520.93, 1348.93)","(2561.92, 1413.69)","(2532.32, 1407.86)","(2526.54, 1478.45)","(2497.04, 1478.34)","(2585.29, 1425.25)","(2626.52, 1484.06)","(2567.57, 1484.09)","(2561.9, 1543.15)","(2555.86, 1543.07)","(2573.53, 1655.11)","(2679.65, 1625.46)","(2567.87, 1543.32)","(2514.78, 1631.73)","(2508.8, 1760.71)","(2526.48, 1343.04)","(2544.15, 1343.21)","(nan, nan)","(2567.69, 1366.6)","(2467.37, 1766.82)","(2473.64, 1772.71)","(2514.69, 1766.81)","(2708.93, 1660.94)","(2703.29, 1655.01)","(2697.08, 1619.48)"
"(2514.75, 1354.81)","(2549.9, 1425.17)","(2520.81, 1419.59)","(2520.55, 1478.45)","(2479.5, 1484.17)","(2561.94, 1425.22)","(2608.61, 1484.21)","(2544.01, 1478.63)","(2555.68, 1549.11)","(2532.49, 1548.95)","(2538.29, 1654.99)","(2638.33, 1625.83)","(2561.74, 1554.92)","(2508.74, 1649.07)","(2508.76, 1760.69)","(2520.4, 1348.95)","(2520.67, 1348.87)","(nan, nan)","(2555.77, 1372.39)","(2467.71, 1761.15)","(2473.79, 1767)","(2514.69, 1761.26)","(2661.79, 1654.93)","(2655.92, 1649.07)","(2644.2, 1619.79)"
"(2497.04, 1360.67)","(2526.43, 1425.25)","(2514.45, 1419.59)","(2514.65, 1478.59)","(2479.28, 1484.31)","(2555.97, 1425.41)","(2579.47, 1484.35)","(2520.61, 1484.26)","(2526.51, 1548.95)","(2514.94, 1543.28)","(2526.45, 1637.52)","(2615, 1619.97)","(2549.99, 1554.83)","(2491.05, 1637.5)","(2508.86, 1755.14)","(2508.61, 1354.63)","(2514.37, 1349.01)","(nan, nan)","(2526.56, 1372.36)","(2467.81, 1766.74)","(2485.21, 1767.14)","(2514.81, 1761.19)","(2650.13, 1661.04)","(2644.13, 1660.71)","(2620.88, 1608.04)"
"(2473.6, 1372.36)","(2514.6, 1430.95)","(2485.34, 1430.98)","(2479.35, 1484.17)","(2443.94, 1507.79)","(2520.71, 1431.14)","(2556.03, 1490.12)","(2485.2, 1490.36)","(2520.36, 1554.97)","(2514.55, 1554.87)","(2514.85, 1637.31)","(2602.82, 1625.67)","(2520.92, 1560.88)","(2473.37, 1637.45)","(2508.81, 1755.04)","(2473.76, 1360.55)","(2485.33, 1354.89)","(nan, nan)","(2514.88, 1378.09)","(2467.82, 1766.72)","(2479.56, 1767.14)","(2514.8, 1761.14)","(2620.6, 1661.02)","(2614.58, 1660.74)","(2603.11, 1619.77)"
"(2467.39, 1366.53)","(2491.26, 1425.46)","(2473.53, 1425.17)","(2485.17, 1478.6)","(2449.85, 1490.14)","(2514.65, 1431.05)","(2526.55, 1490.25)","(2473.25, 1490.41)","(2508.78, 1548.94)","(2491.14, 1537.49)","(2479.57, 1637.33)","(2568.04, 1625.71)","(2514.86, 1554.95)","(2467.64, 1637.5)","(2514.55, 1755.18)","(2467.82, 1366.46)","(2473.29, 1354.74)","(nan, nan)","(2496.98, 1378.25)","(2467.75, 1766.96)","(2485.15, 1772.81)","(2520.75, 1766.67)","(2602.86, 1660.96)","(2591.17, 1655.08)","(2579.38, 1619.98)"
"(2438.17, 1372.43)","(2473.59, 1425.51)","(2467.35, 1425.34)","(2467.41, 1484.09)","(2426.33, 1490.31)","(2485.39, 1431.18)","(2508.77, 1490.31)","(2444.02, 1490.14)","(2479.48, 1554.83)","(2473.27, 1549.11)","(2461.6, 1637.4)","(2555.71, 1631.46)","(2502.99, 1555.04)","(2461.51, 1643.31)","(2514.62, 1754.93)","(2444.03, 1360.65)","(2461.45, 1360.54)","(nan, nan)","(2473.61, 1378.08)","(2467.8, 1766.98)","(2479.6, 1772.78)","(2526.44, 1760.99)","(2561.94, 1660.98)","(2561.64, 1655.17)","(2561.53, 1625.79)"
"(2426.41, 1366.51)","(2467.39, 1425.17)","(2438.08, 1425.19)","(2438.13, 1478.6)","(2420.26, 1484.37)","(2473.54, 1425.36)","(2479.24, 1484.47)","(2420.67, 1484.57)","(2467.42, 1554.87)","(2438.32, 1549)","(2420.51, 1654.95)","(2514.77, 1637.4)","(2473.75, 1555.01)","(2467.66, 1654.92)","(2514.61, 1755.15)","(2432.14, 1349.09)","(2438.06, 1354.67)","(nan, nan)","(2467.66, 1372.36)","(2467.81, 1767.11)","(2485.33, 1772.72)","(2520.87, 1761)","(2544.13, 1654.99)","(2526.66, 1655.02)","(2520.61, 1625.9)"
"(2414.69, 1354.89)","(2438.24, 1425.19)","(2426.3, 1419.57)","(2420.45, 1478.33)","(2379.51, 1478.58)","(2461.79, 1425.22)","(2455.9, 1484.41)","(2390.99, 1484.07)","(2449.9, 1543.16)","(2426.46, 1537.45)","(2379.55, 1631.49)","(2473.4, 1643.38)","(2467.7, 1548.95)","(2467.26, 1637.27)","(2514.78, 1743.38)","(2420.36, 1349.02)","(2420.69, 1348.89)","(nan, nan)","(2443.94, 1372.26)","(2473.42, 1766.88)","(2497.01, 1767.01)","(2526.39, 1755.08)","(2473.53, 1713.77)","(2473.35, 1696.22)","(2485.27, 1637.29)"
"(2385.17, 1354.67)","(2426.24, 1413.67)","(2420.16, 1413.52)","(2414.61, 1466.71)","(2373.5, 1460.68)","(2432.28, 1419.56)","(2432.21, 1484.5)","(2379.3, 1484.06)","(2426.71, 1537.41)","(2420.3, 1537.23)","(2367.51, 1625.47)","(2438.12, 1660.71)","(2461.53, 1537.43)","(2438.11, 1643.36)","(2514.72, 1737.59)","(2391.18, 1348.8)","(2397, 1343.26)","(nan, nan)","(2426.21, 1360.57)","(2479.37, 1761.28)","(2508.61, 1766.77)","(2526.39, 1749.34)","(2449.91, 1713.79)","(2438.11, 1690.47)","(2461.49, 1654.97)"
"(2379.07, 1348.88)","(2414.57, 1407.66)","(2397.02, 1401.8)","(2391.07, 1460.8)","(2367.34, 1449.06)","(2420.42, 1413.55)","(2408.61, 1478.58)","(2367.26, 1466.53)","(2420.4, 1537.37)","(2397.03, 1537.24)","(2338.16, 1619.39)","(2426.27, 1672.98)","(2426.71, 1537.5)","(2443.94, 1643.36)","(2514.79, 1731.5)","(2379.21, 1343.03)","(2379.6, 1343.08)","(nan, nan)","(2420.12, 1354.77)","(2479.58, 1760.99)","(2508.82, 1761.21)","(2520.9, 1743.25)","(2420.43, 1714.13)","(2414.68, 1713.71)","(2438.19, 1678.72)"
"(2367.4, 1343.12)","(2391.16, 1396.13)","(2385.37, 1390.41)","(2379.42, 1460.75)","(2338.09, 1437.41)","(2391.15, 1407.76)","(2379.44, 1484.23)","(2332.23, 1443.23)","(2402.72, 1531.41)","(2379.61, 1531.28)","(2320.33, 1602.09)","(2396.96, 1672.91)","(2420.18, 1531.6)","(2432.45, 1631.68)","(2514.73, 1720.04)","(2373.09, 1337.26)","(2373.45, 1342.79)","(nan, nan)","(2391.19, 1348.95)","(2491.24, 1760.97)","(2514.54, 1760.89)","(2520.84, 1725.72)","(2379.27, 1719.85)","(2379.03, 1714.02)","(2420.31, 1678.62)"
"(2338.18, 1342.96)","(2373.64, 1390.36)","(2373.29, 1390.16)","(2367.29, 1443.15)","(2326.08, 1431.42)","(2379.13, 1396.15)","(2373.15, 1472.48)","(2326.02, 1437.08)","(2373.66, 1525.68)","(2367.44, 1525.55)","(2291.05, 1596.12)","(2361.71, 1678.81)","(2385.26, 1531.14)","(2426.62, 1625.92)","(2514.48, 1719.6)","(2344.08, 1337.14)","(2355.67, 1337.34)","(nan, nan)","(2379.18, 1348.8)","(2502.8, 1754.98)","(2514.73, 1749.16)","(2520.61, 1719.77)","(2338.13, 1720.13)","(2332.51, 1719.69)","(2373.48, 1696.2)"
"(2326.52, 1343.01)","(2367.54, 1390.37)","(2367.41, 1390.13)","(2355.79, 1443.03)","(2314.6, 1431.31)","(2367.45, 1396.06)","(2337.97, 1472.27)","(2296.95, 1437.03)","(2367.41, 1525.36)","(2344.05, 1525.27)","(2284.84, 1596.11)","(2326.56, 1702.05)","(2373.51, 1525.42)","(2414.64, 1619.76)","(2502.84, 1713.71)","(2332.27, 1337.23)","(2332.4, 1337.36)","(nan, nan)","(2367.56, 1343.28)","(2491.07, 1749.25)","(2514.37, 1737.47)","(2514.59, 1713.87)","(2302.64, 1731.57)","(2291.17, 1720.04)","(2338.07, 1708.01)"
"(2320.23, 1342.86)","(2355.68, 1390)","(2361.59, 1384.46)","(2361.54, 1431.5)","(2290.98, 1431.07)","(2338.19, 1390.41)","(2326.26, 1460.77)","(2279.44, 1437.42)","(2337.93, 1525.32)","(2332.03, 1525.2)","(2273.32, 1607.79)","(2290.93, 1713.58)","(2349.73, 1525.43)","(2402.89, 1619.62)","(2485.16, 1707.92)","(nan, nan)","(2326.23, 1337.19)","(nan, nan)","(2338.27, 1343.11)","(2479.55, 1737.52)","(2508.65, 1725.81)","(2508.64, 1713.56)","(2267.45, 1731.66)","(2267.42, 1720.06)","(2314.35, 1713.92)"
