nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(3003.36, 1395.93)","(3038.58, 1443.18)","(3027.04, 1443.06)","(3026.76, 1513.67)","(2991.46, 1484.47)","(3044.88, 1443.23)","(3038.66, 1525.73)","(2991.46, 1484.16)","(3038.8, 1578.45)","(3027.03, 1578.36)","(2962.17, 1660.82)","(3003.44, 1761.05)","(3062.24, 1578.52)","(3097.7, 1672.97)","(3180.02, 1761.18)","(3003.38, 1390.18)","(3020.95, 1390.02)","(nan, nan)","(3038.87, 1395.93)","(3179.94, 1802.28)","(3191.79, 1790.43)","(3186.14, 1761.25)","(2979.86, 1796.22)","(2985.41, 1778.68)","(3026.81, 1766.76)"
"(2986, 1390.16)","(3026.83, 1443.26)","(2997.62, 1443.06)","(2991.57, 1513.69)","(2968.15, 1484.46)","(3038.44, 1448.93)","(3020.99, 1525.66)","(2979.97, 1484.32)","(3026.85, 1578.38)","(2997.52, 1578.25)","(2944.57, 1654.98)","(2973.91, 1766.74)","(3038.66, 1578.47)","(3080.15, 1672.6)","(3174.1, 1755.06)","(2991.5, 1389.77)","(2991.85, 1384.46)","(nan, nan)","(3032.52, 1395.89)","(3174.05, 1784.49)","(3180.22, 1767.15)","(3180, 1760.69)","(2938.4, 1790.5)","(2938.47, 1778.66)","(2985.67, 1772.76)"
"(2974.01, 1389.9)","(2997.43, 1443.12)","(2985.65, 1437.55)","(2985.61, 1490.35)","(2944.81, 1484.24)","(3026.93, 1443.14)","(3003.33, 1525.52)","(2950.63, 1484.21)","(2997.62, 1578.34)","(2985.73, 1578.27)","(2938.26, 1666.66)","(2938.33, 1767.05)","(3027.02, 1578.4)","(3068.08, 1672.85)","(3168.13, 1743.38)","(2979.86, 1384.17)","(2985.67, 1384.24)","(nan, nan)","(3003.44, 1395.86)","(3168.05, 1778.62)","(3174.38, 1766.93)","(3179.82, 1743.26)","(2903.27, 1796.36)","(2897.6, 1784.6)","(2944.3, 1778.82)"
[2959.41 1389.87],[2991.48 1440.28],[2976.81  1437.425],"(nan, nan)","(nan, nan)",[3009.26  1443.065],[2994.42 1522.59],"(nan, nan)",[2991.65  1575.565],"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)",[2962.25 1384.14],[2971.06 1384.2 ],"(1584.37, 1060.27)",[2997.43  1393.025],"(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)","(nan, nan)"
"(2944.81, 1389.84)","(2985.53, 1437.44)","(2967.97, 1437.3)","(2956.25, 1490.39)","(2938.44, 1484.15)","(2991.59, 1442.99)","(2985.51, 1519.66)","(2938.69, 1484.21)","(2985.68, 1572.79)","(2962.31, 1572.69)","(2926.69, 1666.82)","(2903.36, 1767.04)","(2991.9, 1572.85)","(3038.89, 1672.79)","(3144.66, 1725.61)","(2944.64, 1384.11)","(2956.45, 1384.16)","(nan, nan)","(2991.42, 1390.19)","(3162.24, 1766.96)","(3174.17, 1760.77)","(3168.09, 1720.01)","(2879.76, 1778.82)","(2885.56, 1772.76)","(2920.9, 1778.81)"
"(2938.29, 1389.89)","(2962.18, 1442.98)","(2944.68, 1437.41)","(2950.49, 1496.19)","(2926.81, 1496.03)","(2979.94, 1443.06)","(2979.77, 1519.39)","(2932.66, 1490.4)","(2974.03, 1572.84)","(2950.38, 1572.86)","(2897.76, 1667.09)","(2891.42, 1767.14)","(2985.88, 1572.84)","(3021.05, 1672.67)","(3126.98, 1713.62)","(2938.35, 1384.04)","(2938.84, 1384.21)","(nan, nan)","(2967.96, 1390.12)","(3138.76, 1749.32)","(3150.61, 1725.7)","(3132.84, 1702.08)","(2856.39, 1790.36)","(2856.26, 1772.96)","(2897.16, 1790.4)"
"(2903.35, 1384.3)","(2944.54, 1437.17)","(2938.66, 1437.1)","(2944.35, 1490.4)","(2897.59, 1490.25)","(2950.38, 1437.16)","(2950.49, 1513.59)","(2897.34, 1501.91)","(2944.66, 1572.88)","(2938.46, 1572.8)","(2891.42, 1667.08)","(2856.43, 1772.71)","(2968, 1578.27)","(2991.94, 1672.92)","(3097.74, 1702.14)","(2903.34, 1383.84)","(2920.91, 1383.89)","(nan, nan)","(2944.53, 1389.83)","(3127.09, 1725.7)","(3132.78, 1714.04)","(3120.96, 1684.61)","(2832.69, 1784.53)","(2838.43, 1772.78)","(2879.6, 1796.2)"
"(2891.7, 1384.26)","(2938.42, 1437.33)","(2932.74, 1437.11)","(2932.59, 1496.17)","(2891.32, 1507.82)","(2938.54, 1437.48)","(2938.82, 1519.67)","(2891.21, 1519.67)","(2938.42, 1572.78)","(2915.21, 1572.7)","(2885.48, 1667.01)","(2856.13, 1772.81)","(2944.5, 1578.23)","(2973.97, 1673.02)","(3079.74, 1673)","(nan, nan)","(2897.65, 1383.99)","(nan, nan)","(2932.78, 1390.12)","(3103.42, 1719.85)","(3115.27, 1708.03)","(3080.09, 1666.84)","(2814.94, 1790.38)","(2820.92, 1772.92)","(2868.02, 1796.38)"
"(2879.65, 1390.02)","(2903.55, 1437.41)","(2897.35, 1437.4)","(2897.72, 1501.9)","(2862.21, 1519.64)","(2921.06, 1437.34)","(2926.88, 1513.78)","(2867.89, 1519.72)","(2909.18, 1578.53)","(2897.18, 1578.5)","(2856.16, 1672.86)","(2850.39, 1778.7)","(2938.33, 1578.65)","(2944.49, 1690.29)","(3044.7, 1672.62)","(2885.47, 1384.3)","(2891.2, 1384.3)","(nan, nan)","(2903.32, 1390.05)","(3085.75, 1713.66)","(3085.72, 1690.47)","(3062.24, 1666.65)","(2809.26, 1802.28)","(2815.01, 1796.18)","(2862.04, 1802.15)"
"(2850.52, 1390.09)","(2891.53, 1437.45)","(2879.72, 1437.4)","(2891.21, 1507.91)","(2844.68, 1525.37)","(2897.57, 1437.42)","(2909.31, 1519.46)","(2850.56, 1525.65)","(2891.69, 1578.41)","(2879.73, 1578.34)","(2850.18, 1673.02)","(2850.24, 1790.5)","(2903.36, 1578.48)","(2909.17, 1678.54)","(3009.27, 1667.07)","(2850.36, 1384.42)","(2862.18, 1384.39)","(nan, nan)","(2897.18, 1390.17)","(3044.68, 1702.18)","(3044.69, 1678.77)","(3020.98, 1655.09)","(2814.93, 1807.99)","(2809.32, 1802.16)","(2862, 1807.97)"
