,ankle,knee,hip,shoulder
ankle,,0.5058129233825971,0.26734953032861153,0.1978857343555914
knee,0.5058129233825971,,0.3143689227414804,-0.0504707565168644
hip,0.26734953032861153,0.3143689227414804,,0.7364909362595113
shoulder,0.1978857343555914,-0.0504707565168644,0.7364909362595113,
