Frame,Angle
0,97.86848754953282
1,128.8042827994483
2,159.74007804936375
3,159.9768361540514
4,162.43102261143042
5,161.4234827848507
6,161.6183739614817
7,159.32850600674476
8,154.80530511364526
9,148.58495291086751
10,140.39218208443398
11,135.82313593455916
12,135.32711078872774
13,135.73867210722403
14,136.07473753425373
15,137.4633629731697
16,138.70774215746783
17,139.59760679622167
18,142.362991184341
19,145.49513948488854
20,148.81940428672536
21,151.94918007567105
22,154.38280614098505
23,155.13904432203572
24,156.90220514170662
25,156.3341948596267
26,157.01613828444857
27,158.98591294440254
28,160.7604607403503
29,164.32512051832012
30,167.34347764602654
31,169.08845793426443
32,167.27036413051394
33,165.66779023039922
34,161.06286973470787
35,159.50613101023188
36,157.46634180548267
37,159.01911110549617
38,162.14681116752863
39,164.40728217857583
40,167.59847097233995
41,170.74050072057454
42,172.41156669899848
43,172.77952590788638
44,171.43136235625724
45,164.1803701298307
46,158.5598760988783
47,151.80770476658043
48,145.38940128677012
49,140.172227439762
50,138.52554084983487
51,137.73477886122058
52,136.42075041252494
53,138.14255846679976
54,137.97986221815657
55,138.84119796619018
56,140.5022167949379
57,142.6455115655167
58,144.6582351023101
59,148.25989881807115
60,151.74756129967753
61,153.2043341669819
62,154.36305219331268
63,154.58049568158077
64,154.61623641045668
65,158.051237829639
66,158.71976727759989
67,163.88113440259434
68,164.83927790592188
69,168.8006762750549
70,167.79781634307528
71,166.51322428377358
72,163.66908835463065
73,163.38599278395571
74,159.2634460474
75,159.0858289473876
76,161.1424393295058
77,162.63447938323338
78,165.38441261284873
79,168.2428812526864
80,169.5528681914354
81,171.28683253996263
82,172.0448979654409
83,167.6968299268525
84,165.88796531932576
85,158.31670015035183
86,150.22640818777893
87,143.19077540449473
88,139.2297730146309
89,135.25535806405085
90,136.46298045147603
91,137.81026391844742
92,138.41268295405015
93,140.4787769948062
94,141.79874125203776
95,143.59316528709073
96,147.5209520950634
97,149.62792562720105
98,151.88366887855204
99,153.39953047057867
100,154.87364715755712
101,153.25872790595852
102,154.64127703333298
103,155.12987905492625
104,154.47525386926458
105,158.47838203864848
106,163.54105459690837
107,166.9612411318307
108,167.568811563363
109,169.7376737417218
110,164.4347614605953
111,158.5787121620728
112,156.9374084322386
113,156.31801815084438
114,156.06839357236066
115,161.1513465037057
116,164.46160405096384
117,166.70378377521934
118,170.79683836792861
119,173.96552301885907
120,169.74373302340686
121,168.84435883103038
122,160.74811816645118
123,152.99768845234513
124,144.28772539789446
125,138.39545021247628
126,132.4829211444839
127,130.2602711251039
128,128.26033280916522
129,130.20742714929284
130,134.60714709916334
131,139.9220984394289
132,145.44735425310003
133,155.154488677876
134,163.19884595060466
135,164.5508153798534
136,164.5508153798534
137,133.61502012993793
138,97.86682782939405
