nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(2891.76, 1113.29)","(2932.71, 1178.02)","(2903.29, 1172.12)","(2909.14, 1231.17)","(2885.5, 1236.84)","(2944.26, 1183.98)","(2944.64, 1248.88)","(2891.68, 1242.75)","(2938.45, 1307.71)","(2909.3, 1301.82)","(2856.31, 1395.86)","(2956.38, 1431.42)","(2944.81, 1319.31)","(2938.84, 1419.45)","(2997.61, 1513.65)","(2897.21, 1107.53)","(2897.66, 1107.46)","(nan, nan)","(2938.39, 1113.58)","(2956.33, 1537.36)","(2985.71, 1537.41)","(3026.93, 1519.58)","(2956.33, 1490.26)","(2944.81, 1484.18)","(2985.46, 1431.34)"
"(2879.64, 1113.4)","(2903.46, 1177.99)","(2891.72, 1166.5)","(2891.43, 1236.89)","(2862.23, 1231.13)","(2932.78, 1172.33)","(2926.79, 1248.47)","(2873.81, 1236.83)","(2915.08, 1307.73)","(2897.31, 1301.95)","(2838.45, 1384.44)","(2915.17, 1430.98)","(2938.63, 1313.57)","(2932.86, 1419.42)","(2997.48, 1507.8)","(2879.74, 1107.6)","(2891.32, 1107.56)","(nan, nan)","(2909.25, 1119.27)","(2968, 1531.38)","(2985.84, 1531.57)","(3026.8, 1519.44)","(2920.89, 1466.68)","(2909.23, 1448.94)","(2938.49, 1425.32)"
"(2850.28, 1107.34)","(2891.43, 1166.25)","(2867.98, 1160.41)","(2867.93, 1225.31)","(2844.31, 1207.49)","(2897.43, 1166.42)","(2891.67, 1248.52)","(2844.31, 1231)","(2891.61, 1301.8)","(2873.87, 1296.17)","(2809.04, 1383.95)","(2891.8, 1437.19)","(2903.34, 1301.92)","(2932.72, 1413.6)","(2991.47, 1495.98)","(2850.57, 1101.56)","(2856.34, 1101.67)","(nan, nan)","(2891.74, 1113.34)","(2974.03, 1525.7)","(2991.41, 1525.69)","(2997.75, 1496.2)","(2891.29, 1478.58)","(2885.54, 1478.13)","(2903.52, 1437.23)"
"(2838.4, 1107.31)","(2862.12, 1160.4)","(2850.13, 1154.74)","(2844.66, 1219.38)","(2826.81, 1207.61)","(2891.2, 1160.6)","(2856.4, 1242.84)","(2820.82, 1201.83)","(2867.93, 1295.96)","(2850.18, 1295.83)","(2791.44, 1378.17)","(2862.13, 1448.86)","(2891.37, 1296.15)","(2915, 1401.76)","(2985.92, 1484.4)","(2838.38, 1101.52)","(2844.45, 1101.6)","(nan, nan)","(2873.77, 1107.63)","(2979.84, 1525.4)","(2991.6, 1519.7)","(2991.96, 1484.56)","(2850.43, 1490.27)","(2844.63, 1484.44)","(2885.69, 1454.87)"
"(2803.53, 1107.24)","(2844.6, 1154.65)","(2838.46, 1154.48)","(2838.42, 1207.52)","(2803.33, 1195.97)","(2850.42, 1154.86)","(2844.71, 1242.62)","(2803.31, 1213.37)","(2844.7, 1290.14)","(2838.31, 1290)","(2761.93, 1372.46)","(2832.63, 1466.65)","(2856.39, 1290.24)","(2897.43, 1390.23)","(2985.51, 1484.02)","(2803.55, 1101.6)","(2820.78, 1101.58)","(nan, nan)","(2850.25, 1107.46)","(2968.13, 1519.58)","(2985.76, 1513.75)","(2991.61, 1484.25)","(2797.57, 1507.74)","(2797.43, 1490.25)","(2844.37, 1472.58)"
"(2797.2, 1107.23)","(2832.57, 1154.82)","(2815, 1154.56)","(2809.12, 1219.28)","(2791.44, 1201.53)","(2838.57, 1160.47)","(2815.03, 1242.6)","(2791.23, 1201.69)","(2838.3, 1289.91)","(2809.27, 1289.86)","(2750.4, 1372.46)","(2797.46, 1478.07)","(2844.53, 1289.95)","(2885.54, 1384.42)","(2968.16, 1478.43)","(2797.33, 1101.31)","(2803.13, 1101.51)","(nan, nan)","(2838.48, 1107.5)","(2950.6, 1519.69)","(2979.73, 1513.76)","(2985.71, 1478.56)","(2761.93, 1513.57)","(2756.39, 1490.4)","(2809.01, 1478.42)"
"(2767.97, 1101.63)","(2803.43, 1154.63)","(2802.97, 1154.41)","(2797.05, 1201.93)","(2756.38, 1184.08)","(2809.12, 1154.93)","(2797.2, 1237.1)","(2756.22, 1196.01)","(2803.15, 1290.11)","(2797.07, 1289.97)","(2726.79, 1372.48)","(2756.26, 1478.45)","(2814.97, 1290.23)","(2862.06, 1389.9)","(2944.87, 1472.61)","(2767.81, 1101.16)","(2785.63, 1101.24)","(nan, nan)","(2808.99, 1107.26)","(2944.58, 1507.74)","(2962.21, 1490.33)","(2962.26, 1478.15)","(2720.82, 1513.69)","(2726.61, 1490.41)","(2773.88, 1484.17)"
"(2750.28, 1101.54)","(2791.38, 1154.65)","(2785.55, 1154.35)","(2773.76, 1207.61)","(2749.93, 1189.96)","(2797.19, 1154.9)","(2762.19, 1242.73)","(2738.54, 1195.7)","(2791.5, 1284.16)","(2773.68, 1284.02)","(2709.33, 1378.38)","(2714.95, 1484.34)","(2802.94, 1289.72)","(2844.36, 1384.41)","(2938.91, 1460.76)","(2750.3, 1095.55)","(2756.2, 1095.77)","(nan, nan)","(2791.45, 1107.24)","(2938.77, 1490.2)","(2950.4, 1484.19)","(2950.4, 1466.52)","(2679.68, 1513.69)","(2691.36, 1496.08)","(2732.64, 1490.41)"
"(2732.44, 1101.57)","(2767.97, 1154.49)","(2768, 1154.34)","(2785.56, 1201.65)","(2732.67, 1201.47)","(2767.82, 1154.67)","(2756.31, 1236.91)","(2720.81, 1201.65)","(2762.13, 1289.88)","(2756.03, 1289.8)","(2702.9, 1384.12)","(2697.06, 1484.57)","(2785.4, 1289.94)","(2814.92, 1390)","(2938.42, 1442.96)","(nan, nan)","(2744.28, 1095.68)","(nan, nan)","(2762.01, 1101.73)","(2938.43, 1490.16)","(2944.65, 1478.57)","(2944.73, 1437.25)","(2655.82, 1513.67)","(2656.01, 1496.2)","(2703.08, 1507.77)"
"(2708.95, 1101.52)","(2750.23, 1154.69)","(2744.39, 1154.46)","(2744.2, 1201.97)","(2708.99, 1195.84)","(2755.86, 1160.46)","(2744.26, 1236.88)","(2708.81, 1201.79)","(2750.05, 1290.03)","(2732.59, 1289.96)","(2691.19, 1384.34)","(2662.11, 1490.21)","(2756.08, 1290.12)","(2797.1, 1389.91)","(2897.53, 1431.39)","(2709.17, 1095.55)","(2715, 1095.65)","(nan, nan)","(2750.31, 1101.76)","(2938.34, 1478.09)","(2938.72, 1449.05)","(2909.13, 1431.18)","(2620.74, 1519.57)","(2620.88, 1507.76)","(2679.51, 1513.65)"
