nose,neck,right_shoulder,right_elbow,right_wrist,left_shoulder,left_elbow,left_wrist,mid_hip,right_hip,right_knee,right_ankle,left_hip,left_knee,left_ankle,right_eye,left_eye,right_ear,left_ear,left_big_toe,left_small_toe,left_heel,right_big_toe,right_small_toe,right_heel
"(2325.98, 1342.7)","(2361.44, 1389.9)","(2355.7, 1384.43)","(2338.18, 1443.2)","(2296.86, 1449.11)","(2355.76, 1390.05)","(2355.74, 1460.72)","(2291.14, 1454.82)","(2355.7, 1525.47)","(2338.15, 1525.44)","(2302.63, 1619.92)","(2291.03, 1725.7)","(2367.6, 1525.57)","(2367.47, 1625.92)","(2467.63, 1613.78)","(nan, nan)","(2326.47, 1336.99)","(nan, nan)","(2344.11, 1342.74)","(2502.89, 1637.45)","(2508.58, 1625.63)","(2473.38, 1590.36)","(2255.58, 1755.08)","(2267.29, 1737.55)","(2308.69, 1749.15)"
"(2291.11, 1337.35)","(2332.07, 1390.15)","(2326.17, 1390.05)","(2326.16, 1448.94)","(2285.36, 1460.82)","(2332.47, 1390.06)","(2343.87, 1454.81)","(2290.98, 1466.7)","(2332.01, 1531.27)","(2326.25, 1531.25)","(2285.18, 1625.81)","(2296.85, 1731.49)","(2332.51, 1531.34)","(2332.14, 1631.47)","(2426.52, 1619.55)","(2302.74, 1337.05)","(2308.63, 1337.02)","(nan, nan)","(2332.07, 1342.96)","(2467.78, 1631.51)","(2467.7, 1625.53)","(2432.26, 1590.37)","(2261.43, 1760.73)","(2273.11, 1754.9)","(2320.17, 1755)"
"(2279.42, 1342.87)","(2320.2, 1396.01)","(2314.52, 1390.38)","(2291.02, 1460.76)","(2273.17, 1466.67)","(2320.5, 1396.01)","(2326.21, 1472.49)","(2279.07, 1478.53)","(2325.96, 1531.2)","(2320.32, 1531.14)","(2285.2, 1625.73)","(2302.62, 1725.63)","(2326.27, 1531.3)","(2285, 1625.77)","(2302.75, 1737.43)","(2285.42, 1337.15)","(2285.32, 1337.25)","(nan, nan)","(2320.35, 1343.33)","(2261.46, 1755.12)","(2278.88, 1760.96)","(2320.38, 1755.07)","(2255.67, 1749.17)","(2273.24, 1743.33)","(2320.39, 1737.56)"
"(2273.03, 1343.06)","(2296.75, 1396.01)","(2285.24, 1390.41)","(2285.13, 1460.67)","(2267.34, 1460.78)","(2308.54, 1395.96)","(2326.12, 1472.28)","(2273.4, 1478.53)","(2302.63, 1525.72)","(2296.85, 1525.67)","(2273.27, 1625.52)","(2302.65, 1725.62)","(2308.59, 1531.23)","(2267.43, 1625.94)","(2367.53, 1613.87)","(2278.88, 1337.06)","(2279.04, 1337.35)","(nan, nan)","(2291.11, 1343.3)","(2402.71, 1643.31)","(2402.75, 1631.39)","(2373.18, 1590.2)","(2273.08, 1755.16)","(2273.21, 1755.03)","(2325.96, 1749.26)"
"(2238.07, 1343.1)","(2279.15, 1395.92)","(2273.26, 1390.44)","(2273.33, 1460.66)","(2237.73, 1478.27)","(2284.83, 1390.43)","(2291.05, 1454.94)","(2243.97, 1484.5)","(2284.84, 1531.13)","(2279.31, 1531.16)","(2249.86, 1625.75)","(2302.67, 1725.62)","(2285.18, 1531.16)","(2238.06, 1625.86)","(2320.29, 1707.99)","(2238.27, 1337.23)","(2249.69, 1342.74)","(nan, nan)","(2279.2, 1343.32)","(2279.34, 1754.91)","(2291, 1755.17)","(2326.35, 1720)","(2267.23, 1760.8)","(2267.37, 1755.13)","(2326.07, 1743.39)"
"(2231.96, 1342.76)","(2267.27, 1395.93)","(2249.68, 1395.88)","(2249.73, 1466.65)","(2226.12, 1478.26)","(2273.27, 1390.38)","(2296.76, 1460.82)","(2244.03, 1484.46)","(2278.88, 1525.75)","(2278.81, 1531.14)","(2243.86, 1625.53)","(2296.95, 1725.68)","(2279.03, 1531.16)","(2225.95, 1619.76)","(2320.21, 1660.96)","(2232.27, 1336.91)","(2237.88, 1337.12)","(nan, nan)","(2261.57, 1343.17)","(2285.04, 1743.33)","(2302.68, 1737.48)","(2326.16, 1707.96)","(2267.26, 1760.9)","(2273.13, 1755.11)","(2326.04, 1743.32)"
"(2202.75, 1337.31)","(2238.1, 1395.88)","(2232.16, 1390.44)","(2226.22, 1466.52)","(2185, 1443.08)","(2244.08, 1390.29)","(2279.34, 1443.13)","(2232.25, 1484.29)","(2255.58, 1531.12)","(2261.43, 1531.14)","(2243.8, 1625.81)","(2302.84, 1725.87)","(2255.58, 1531.11)","(2190.68, 1613.88)","(2285.29, 1690.37)","(2208.45, 1337.17)","(2225.94, 1336.94)","(nan, nan)","(2238.28, 1343.05)","(2279.2, 1755.04)","(2285.21, 1754.87)","(2320.46, 1714.05)","(2267.36, 1761.21)","(2273.3, 1760.82)","(2326.39, 1749.14)"
"(2190.64, 1337.08)","(2208.53, 1390.19)","(2191.14, 1390.32)","(2191.03, 1460.8)","(2155.59, 1437.38)","(2226.2, 1390.04)","(2278.93, 1437.31)","(2231.84, 1478.27)","(2237.66, 1525.52)","(2237.91, 1525.55)","(2243.77, 1625.8)","(2308.61, 1720.03)","(2232.21, 1525.54)","(2155.57, 1607.9)","(2232.26, 1655.1)","(2190.99, 1337)","(2196.64, 1336.87)","(nan, nan)","(2226.09, 1343.09)","(2237.78, 1678.67)","(2232.01, 1672.79)","(2243.82, 1655.12)","(2273.31, 1755.02)","(2285.01, 1743.34)","(2326.28, 1731.64)"
"(2178.91, 1336.93)","(2196.92, 1384.38)","(2190.81, 1384.38)","(2190.94, 1443.15)","(2178.92, 1448.95)","(2214.29, 1384.22)","(2267.26, 1431.53)","(2226.25, 1472.46)","(2214.49, 1525.18)","(2226.09, 1525.23)","(2232, 1625.79)","(2308.55, 1719.73)","(2208.47, 1525.24)","(2131.87, 1590.44)","(2208.46, 1660.99)","(2179.01, 1331.13)","(2184.95, 1331.19)","(nan, nan)","(2196.88, 1337.3)","(2202.68, 1713.71)","(2196.91, 1707.85)","(2231.8, 1666.56)","(2278.99, 1749.23)","(2285.21, 1737.51)","(2326.03, 1725.58)"
"(2143.91, 1337.05)","(2190.7, 1384.12)","(2179.09, 1384.32)","(2161.4, 1436.98)","(2126.19, 1407.74)","(2196.78, 1383.96)","(2238.27, 1431.42)","(2196.71, 1460.76)","(2190.84, 1519.7)","(2191.1, 1519.72)","(2220.3, 1619.74)","(2290.9, 1713.78)","(2190.65, 1525.18)","(2102.45, 1578.69)","(2178.92, 1666.93)","(2143.86, 1336.87)","(2155.43, 1331.19)","(nan, nan)","(2185.04, 1337)","(2167.38, 1702.08)","(2167.36, 1690.35)","(2185.09, 1666.86)","(2284.99, 1743.38)","(2285.31, 1731.68)","(2308.64, 1714.1)"
