,ankle,knee,hip,shoulder
ankle,,0.9196152032794941,0.24903717947519868,-0.34660045427215125
knee,0.9196152032794941,,0.32339145342551207,-0.2936814261634653
hip,0.24903717947519868,0.32339145342551207,,-0.06007332146316646
shoulder,-0.34660045427215125,-0.2936814261634653,-0.06007332146316646,
