Frame,Angle
0,81.96160793052002
1,104.43773523068896
2,128.23813242919903
3,121.18432763849445
4,116.17047468921623
5,112.64101807642972
6,110.7855612115941
7,106.48901713518795
8,100.71903423598718
9,96.61758403618367
10,94.30182477920184
11,93.15911313719575
12,100.12412316725451
13,110.60218699218399
14,124.6653924747751
15,132.56256645776492
16,140.66724733922047
17,137.11467261403124
18,134.51062524484132
19,129.63021916012343
20,128.11308121831573
21,124.33083874204297
22,124.1600176793343
23,121.80820969689489
24,115.9652574046051
25,114.13058820337099
26,111.24196689572443
27,116.78234861864516
28,114.93327469749444
29,112.62981957101016
30,113.72207039637098
31,117.6194965967232
32,111.92582590953015
33,111.54212397671745
34,114.44941065670676
35,113.52557557479794
36,113.6495798556042
37,118.19148877734956
38,125.41088923389599
39,127.22778819440984
40,130.32076715202163
41,127.21298639582233
42,123.35492860200621
43,116.1995431004299
44,112.88837250944422
45,107.1158040494315
46,103.26162803109301
47,96.70198646588722
48,93.86029768387816
49,93.44155079342966
50,98.91374752720697
51,108.01286894042275
52,121.13480225361121
53,131.76860855118247
54,136.3898713748789
55,139.45384615921006
56,139.7643233846554
57,136.15846215977314
58,132.28500103972698
59,136.31342130360377
60,129.94825002439512
61,125.59255831905742
62,122.95358972491482
63,124.38798846399216
64,124.23045552644044
65,125.87047807630995
66,125.68898691586324
67,122.60740225369284
68,118.00795456417663
69,113.54913401376957
70,112.04769113880954
71,113.26778011665297
72,116.21626207831164
73,119.28290318889233
74,120.42950525018574
75,125.64878677909005
76,126.65775408256968
77,126.12364891905887
78,122.98251505448482
79,122.19905763971515
80,119.61687511332562
81,116.90782118021204
82,115.68269193729532
83,114.08540401598677
84,107.50893206311223
85,100.4959658282352
86,98.26567464207136
87,97.57388307410685
88,100.76713105304592
89,110.35786966953532
90,119.49710215268036
91,128.65435039877184
92,136.72822581857994
93,137.69463367834553
94,137.49374274969287
95,134.83191994882182
96,131.79736126901818
97,128.42501741543182
98,130.13643170011042
99,129.66679998773762
100,130.6967206021257
101,129.58128499847786
102,130.4380341419323
103,130.98149602981158
104,126.7146071080704
105,120.15129917151779
106,117.36189599757051
107,113.35682306705765
108,110.44720452866845
109,109.61309501949829
110,112.34388589852915
111,113.92489991611643
112,114.55254389296603
113,112.88530336604326
114,115.18260396936046
115,114.8765192616075
116,114.95176461548223
117,115.55237765029352
118,118.96206855121504
119,120.23071272795866
120,122.17785948848866
121,119.371251375653
122,116.2915529103296
123,108.44464399001077
124,101.59185667109708
125,99.12551026387044
126,97.86566096847548
127,100.2509368538962
128,108.19386277197998
129,119.05875768260299
130,126.47385671580122
131,130.33322462998066
132,131.0372168355935
133,129.01531152048773
134,128.27691321670437
135,123.8895954061377
136,123.88959540613769
137,100.08919820762765
138,76.28880100911758
