time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_l,hip_adduction_l,hip_rotation_l,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_l,knee_angle_r,ankle_angle_l,ankle_angle_r,subtalar_angle_l,subtalar_angle_r,mtp_angle_l,mtp_angle_r,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_l,arm_add_l,arm_rot_l,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_l,elbow_flex_r,pro_sup_l,pro_sup_r
6.07,-302.74668916873094,-207.2831891235103,-15.185386274651835,5.690269352616765,1.1357184526068158,-1.465711665895506,147.56522752025697,-183.33746533975986,331.8925366070764,696.5650229555764,85.5573887061276,-204.32897946631698,-286.5748589179861,221.741945321781,159.9157098331554,-101.5006528472299,390.064403324638,-128.03866653314657,-61.30163668600478,-42.8227759101344,87.07416490008266,-586.5261048473586,-144.38960166935243,85.76823731450736,96.55726133272876,-238.43970914206213,-1286.0157441583347,311.8923456347729,-2817.501311019499,808.9039273007288,246.70916631810746,365.01103723725697,1033.22543064768
6.0902631578947375,-109.9467543296087,-260.17576497599106,-76.56856394389901,5.799060817736706,0.9682489218492489,-1.0279515275196602,-67.57499649859,-418.0750220631668,303.0626253263513,540.6872991399001,238.60722068197708,-424.76648348259715,-453.7808847840424,236.5473358399055,220.92974766946014,185.33766662297998,667.0263736763488,-214.60535174958872,-46.45011372443496,-50.89256377466883,-39.00831728998589,-347.3880280622578,-199.22417480487994,118.04245819575944,-54.511636352081915,-157.982498326549,-800.8700280935014,124.4618263445039,-1620.359125691451,536.6886380150304,631.6756248537207,96.71127088059342,769.6885194595003
6.110526315789474,-8.952843165254647,-257.3109706529675,-108.66631154790029,5.763949398198992,0.7044160452362658,-0.6338634818940861,-197.4036260861875,-541.77904791022,213.34111531005834,413.44172463513723,281.0712636196875,-508.95938073304677,-520.554747417839,216.53437313316763,197.51513450157822,170.87574106954247,757.0691712063399,-138.6670935126724,-41.22537214894499,-53.82016086315696,-97.44537350915095,-273.2508974286943,-189.3422916378042,285.7382002615688,-135.780433380879,83.00324936830356,-541.4303540664071,-89.10281695684003,-650.007959922506,234.60782825802474,896.7990853851556,-168.48502051312022,404.49863202697145
6.130789473684211,-72.43598297880303,-208.473054300778,-84.5600000130916,5.494663843194395,0.46777685970123023,-0.35275180770607417,-158.06279822771793,-491.9866177483139,87.11001385297773,370.64612953804743,105.00694244670562,-420.43912959025545,-462.3109564874941,38.05246984251971,25.41202917863006,-92.16986255480364,600.0750134745974,51.045077895432065,-39.92889807866419,-43.87009818967959,-125.28290194732875,-327.7945989128832,-13.117189558495081,442.22708433376323,-64.2716671423502,373.95453734193933,-381.87287221586104,-125.94914548968644,-91.6950125181701,-88.31234513072776,976.7290197231597,-344.7187097153494,48.98424290869968
6.151052631578947,-246.3054539285352,-96.0829966915787,-119.64895604712147,5.215193204722152,0.4265021332557901,-0.1408158758952235,26.276023706222436,-227.5844773118642,-31.544129767005153,300.3725923946501,-146.3400254260752,-277.4453388193076,-215.2735284225964,-245.15098179422537,-259.23942231046,-389.22285836563543,323.3318096215396,192.10514563682867,-29.083614231807733,-19.140248128639097,-160.09125439797768,-468.4282236390034,285.8637888004748,433.15670107682706,135.8886108751436,483.3506403415982,-221.01644169759123,9.215461178678531,73.01755848327058,-387.3532097013807,734.8250755190836,-375.1525899547367,-185.7005382363286
6.1713157894736845,-366.8053177176622,-23.93352645543735,-225.96469136199536,5.158635561105839,0.5782083473723987,0.07864489528703994,206.5735654989947,-5.5366600188671145,-109.94341932433836,177.09551505179695,-178.80000984162092,-197.73789209088656,84.128117066363,-465.99742763413224,-434.86375585032516,-430.808097786256,99.40078001057314,207.05317971395604,-9.227187280333666,-6.064263545206018,-110.6289418148883,-536.7455244452115,463.4313482641239,197.08505410271772,287.6439739961451,322.4852465590256,42.66836304786754,188.38850645077292,50.40776134323613,-559.9257462546318,309.10893047074575,-289.36474075687977,-257.7414559496895
6.191578947368421,-253.12019008876558,-46.41714401746548,-207.88481715431726,5.5053235795391915,0.7724737422620106,0.0954925086083737,157.69542912029806,-83.06628172173623,-114.35496973615301,-51.2421958379852,-3.4722214107212945,-207.894101358385,238.51724005190172,-448.215619276519,-343.8456936020086,-198.99168176118502,-21.351856323081776,169.6490227303402,3.770311712288266,-5.798803050512179,170.5527587721144,-379.50301762440205,218.50101382017834,-207.8259014422027,217.3739676403866,5.754267163657544,361.00058518124325,268.6029311153591,46.524207727402185,-492.18428125864784,-8.383523713484074,-162.85906628562975,-185.1189948471852
6.211842105263158,-32.35593700113878,-43.72892175878786,-6.636791411237797,6.114917274025431,0.9102948340737946,-0.2624139032848787,-21.98358567571559,-141.94402501087617,-69.69126226896842,-373.75190862701686,28.62240975590929,-167.76664284287375,316.6140395036182,-276.53377545244246,-59.85842259822482,218.80796551199876,-123.67558855744053,139.23113614754257,-0.7197275944781336,2.817117247539298,430.36481704772467,-135.88867790606125,-274.34461681831783,-620.2209678567355,-62.9970735531493,-296.525262887396,624.9776409109143,229.34805810140298,212.75419561872548,-201.50614051786044,-83.22293159857306,-36.60818763689082,-18.4275420903435
6.232105263157895,-10.695144452796429,50.91508596884122,-77.18697173021285,6.287999996424858,0.8119028691891865,-0.19930776854449975,-36.37258597003115,13.24349667773574,-32.3450070696286,-368.97999695062913,87.20167457206429,71.45578837729121,535.0466637234179,-77.55582988780412,240.94595544227775,493.1367025860032,-304.7708360053226,122.21866035909926,-1.38280232206461,-3.4031254336472214,245.33813444252505,-213.70669596368123,-224.55140782269407,-838.1023994624355,-358.67227053028597,-555.3765888246317,761.3431831854521,147.8247454640602,352.70911815362183,115.92004521721903,-31.437675381166155,86.0801320036648,164.2771994697651
6.252368421052632,-44.22274854427986,106.39766280721511,-231.59690615590873,6.1491568407577555,0.6090944623567432,0.0596952407362291,19.380774754309698,135.49039373160352,94.12973448210674,-266.4606177686642,169.08261063915748,354.3615248651732,752.5997305643117,-11.54895027817225,454.3120761532398,491.7970556447906,-556.3630464254344,84.86955211971552,1.698076096163379,-13.755601325674267,-41.471948220660174,-286.5646976058175,51.81362642904383,-819.6650213201754,-510.5858894891042,-568.0607720031361,724.3510942727765,135.71065978799558,369.57208602432416,212.51663632063878,-0.7353102707207901,179.73089221657943,281.6145402174349
