,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.0,8.747689028360632,-0.8241660299619366,-7.301176515268823,-11.783417058414999,0.9723174152828404,0.7064344588230658,-20.56132983559575,4.437703163155774,-9.220202343189701,9.487505676238916,2.8056431630564345,-16.17918118212835,0.0,5.107869811845043,-2.7890630733307367,7.157787565599471,18.909517772501527,-3.298284854983423,-18.691974747926956,0.0,-8.719452390306548,9.866471515930883,-32.104466217353234,-211.3160377477637,19.704482713286684,79.81486439542059,-6.774593713783128e-121,49.8348679734359,-112.18752522252832,-20.756482065179945,200.84592397962274,89.81853966498247,50.18510882101505
1,0.0166667,11.367669652016549,1.6760152516435873,-6.775838334810785,-11.785054745479757,0.9815262722631839,0.706518618913738,-22.430556794521603,2.2169015459516044,-11.784817895241794,8.704459567371451,1.6296540273063334,-17.813461132426944,0.0,1.258697126033272,1.1643658007418263,7.947960060456022,17.381291241611425,-4.948880862243252,-19.483667725834728,0.0,-12.014902939075222,8.248623895589052,-33.608801620250304,-210.0700490859727,23.585416531755104,79.45418047075746,-8.805575959056568e-121,49.27122693044502,-106.95840722877378,-21.09390356728048,202.21297453720902,92.99054844688288,50.58446990101416
2,0.0333333,13.466346614004301,3.460931478562938,-6.20660100659624,-11.786928715956902,0.988770075556392,0.7060776736653525,-24.113658368588993,0.6826643834679492,-14.027931906297994,7.846070469049648,0.31431216225329817,-19.12351140444205,0.0,-1.924072925808397,4.004888980260438,8.599789749378182,15.8896493379687,-6.580803173068545,-20.228089083150316,0.0,-14.72945190216706,7.334006629910025,-34.71798897445402,-208.98711682159035,26.692887542365458,79.13679226520108,1.5916233727518858e-121,48.78860186606764,-102.52380931822239,-21.81020599413841,203.04391044541336,95.31784342178673,51.42657722739268
3,0.05,14.827400278354629,4.230288681752273,-5.593613287934776,-11.788741019082114,0.9931343592696893,0.7047687601627111,-25.51511575832293,0.140055024828887,-15.791449374310558,6.836349405167768,-1.3023928096443633,-19.99248073704707,0.0,-4.0329210117159295,5.312793213333561,9.021094434545265,14.749159743273305,-8.084365343876158,-20.956377217009795,0.0,-16.671777369011487,7.385937072776086,-35.27171150833028,-208.04762179250852,28.641404496379213,78.92105716245673,2.506246912028665e-120,48.420574803787396,-99.34821168041545,-22.799847446005256,203.25237592989077,96.465175440139,52.846745816746704
4,0.0666667,15.555954199080203,4.188004407571286,-4.977626854565183,-11.78964982033564,0.9949845808616435,0.7025932220354026,-26.657414303400902,0.4241461583085522,-17.152330161946175,5.603331886018269,-3.3402503103242047,-20.50425191859244,0.0,-5.010462906246089,5.460928634759562,9.199152896050483,14.423418070232811,-9.288241285578119,-21.764958345286246,0.0,-17.98009868155416,8.136828226461489,-35.414432680032306,-207.15289196940438,29.53588770638953,78.86026956904713,4.018043104180974e-120,48.14629115374946,-97.4641610854392,-23.578350585500505,203.18184481308725,96.69527844543046,54.61639323495429
5,0.0833333,15.883642799242976,3.7829690162620047,-4.412534724488581,-11.788803890054739,0.9954506450773066,0.699876886981101,-27.631237633766197,1.115771295615556,-18.326707050491393,4.141036650095724,-5.748276705718841,-20.766409685903856,0.0,-5.086406937783827,5.149116680573815,9.195393312863073,15.133915768523348,-10.076480326231286,-22.71606457330652,0.0,-18.825240595974677,9.087211094712213,-35.43597044808812,-206.30180725803802,29.78329087973571,78.95192422760529,7.523809349917503e-121,47.918741811533984,-96.57258650788792,-23.793891426667606,203.2271581432016,96.53700763422586,56.33893651475769
6,0.1,15.993145005658027,3.3776659585839153,-3.9451153881481895,-11.78588141955248,0.9956545110157183,0.6970072678469609,-28.498087166542444,1.8264959631256943,-19.47163763885785,2.596363959293316,-8.244270307221406,-20.779814405848104,0.0,-4.632122838527288,4.892934391558304,9.104623499590298,16.65775710320583,-10.450665572601167,-23.741952226295012,0.0,-19.26415139503794,9.884441516665568,-35.54361755183111,-205.5833077808662,29.82196850103512,79.11733569608413,-8.828252370786052e-120,47.69938577456978,-96.22424743458734,-23.519181947099522,203.55065599271134,96.40033060569752,57.67976023267779
7,0.1166667,15.957115747387645,3.106008091383026,-3.59856066363827,-11.781189859966444,0.9960889854954051,0.69415992485324,-29.2231588425614,2.345908618305418,-20.5496069071933,1.2497808074303323,-10.42537505114178,-20.489622976267746,0.0,-3.9918918633393035,4.8513751987494595,9.020596762474952,18.48075559053946,-10.49835995739594,-24.672780261010775,0.0,-19.278685624895296,10.463395577627377,-35.775472884478646,-205.06630729743074,29.940191677439802,79.25307164252338,-1.7472117640502712e-119,47.4728685048797,-96.01778450982728,-23.089506608440185,204.090573658267,96.42621986215191,58.49452671663611
8,0.1333333,15.778382535938666,2.9448865304396983,-3.360681199074918,-11.77547589442381,0.996577662206897,0.6913021477522261,-29.717942885216637,2.62661204629031,-21.35089666471118,0.3507286361056353,-11.976272898226146,-19.921403956308627,0.0,-3.3953313042278572,4.95957358665433,9.01549908653121,20.080985509177456,-10.35074518499142,-25.372875845467032,0.0,-18.872976705973453,10.922450635512474,-36.06675346160888,-204.74629086399167,30.22871119147606,79.30527486458729,-8.503271550495655e-120,47.24045955083624,-95.73732841949825,-22.783811576182792,204.7052789418425,96.55731809389016,58.854937805633256
9,0.15,15.47197257226756,2.8527782247054247,-3.1846402780502534,-11.769761827491775,0.9968358757976498,0.6884392912505697,-29.953681371848667,2.703897968632116,-21.647967487924642,-0.0547708468161479,-12.795436251027825,-19.20218272949241,0.0,-2.9901110620635603,5.120824335690188,9.110416260276356,21.092649092351344,-10.171123951103407,-25.812114919319775,0.0,-18.146158466340392,11.332186836529546,-36.35144917167195,-204.5740336241582,30.636441204096737,79.29044829293191,2.9161825114086766e-119,47.014305451523796,-95.36027396481843,-22.68109630272711,205.27411820949067,96.6761225721008,58.96321549408708
