,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.0,12.134866499686085,-6.230550401388521,-6.363250639674933,-10.709139381482535,0.9617838510381576,0.5854603241379339,-19.14295808723135,8.431890365571205,-11.65007480865931,11.692078265967943,-2.771702532728674,-29.630799557340413,0.0,10.636927305079462,-6.636215428529837,4.480682442356996,26.58191324628511,-0.6825832610789913,-19.411640569962938,0.0,-5.20134948376647,15.203601566769237,8.917604951069316,-220.97711523737476,-2.02261662194743,58.043740304957176,29.41169357583417,97.33479342904805,-255.84138699723823,-34.07476626342525,27.745898634874646,57.93559818807827,111.87093698164473
1,0.0166667,13.807468523201736,-3.9205245993612627,-5.662004827200462,-10.713568341558815,0.9685993455730361,0.5867911507864972,-20.12678287297492,6.614049464333431,-13.993065390074424,11.163325799297866,-2.177003894917777,-28.272348279200482,0.0,8.851709171642288,-2.9247461594803843,4.842247695337766,27.42688376321003,-1.7487098790651938,-20.87682948138299,0.0,-6.991438774919747,12.361393467890684,7.585408867225272,-227.67521403369727,-0.9285514484639614,41.93152748832296,42.38782369789314,106.21660480135183,-259.7225080758781,-33.28434914519415,21.416763303600444,62.781201299088146,115.0332796475726
2,0.0333333,14.86023260304706,-2.1817617689873163,-4.9293947469779225,-10.716628361634946,0.9729424174992015,0.5878902517045262,-20.790166264828198,5.328836571125521,-15.743131296297387,10.668034002940406,-1.350173308497196,-26.694964436738335,0.0,7.713920486247693,-0.16988200368752132,5.385767313898928,27.98393543235522,-3.0894116797822315,-22.33977355246746,0.0,-7.5799423471396805,9.82125324158269,6.253785443832399,-234.34207808117972,-1.1163113601350414,28.839725877859006,54.10490094790316,113.82122024877222,-262.8214356096658,-31.215598867474124,15.588419138797166,65.8982481477466,117.71551682731547
3,0.05,15.225936448700825,-1.2592205435842814,-4.195694761406962,-10.717702003397012,0.974190126589114,0.5885570263730004,-21.128645020199958,4.7846105486494634,-16.573800318360654,10.272699802753392,-0.31868059661407444,-25.02589872318609,0.0,7.329923296216954,1.2750158214840444,6.158174191607293,28.234630652459025,-4.706215679432664,-23.758511044264353,0.0,-6.944709937181857,7.900974692857689,5.140883310076198,-240.02511045795598,-2.6881555132296415,20.912959916638634,62.8871163462583,118.82457327230257,-264.59635086533365,-27.89305611855197,10.997783636327755,66.47559517991043,119.4537503014446
4,0.0666667,15.272174764027714,-0.9953119240604309,-3.5447119005375622,-10.717060079481882,0.9736580704211377,0.5887141879042307,-21.35998107427039,4.814054310579307,-16.53189280117755,9.99771430026917,0.6805225797621548,-23.62400268710341,0.0,7.35958102056995,1.7308475839022213,7.058291444601275,28.363298596256175,-6.341401444214917,-25.035267962913426,0.0,-5.932705137339939,6.71136778478944,4.526362004888315,-243.7298496482899,-4.830347921066952,18.124370691545366,67.8183187940071,120.78639234212487,-264.9657109879717,-24.352707665898567,8.297284842306517,64.83925948798985,120.11793597795308
5,0.0833333,15.318800765582122,-1.0301929431347296,-3.0533386580537716,-10.715538100449749,0.9731994402395342,0.5884468781742043,-21.641253898513533,5.084834700602973,-15.935721746107976,9.74038860192291,1.4338775497432101,-22.694362709525258,0.0,7.46121156706068,1.7799667397796413,7.9341538657359045,28.493714990317375,-7.762106481701046,-26.08193141082709,0.0,-5.211950965515829,6.035371232784404,4.468887046003577,-245.60225973851036,-6.793459199075076,18.28292502351255,69.75954131740947,120.66063258254232,-264.36369004881055,-21.482772654560584,7.45849214491648,62.088177176779276,120.06133092322959
6,0.1,15.420215743364363,-1.070765795529009,-2.7418283253270013,-10.714104429963674,0.973836459581611,0.5879321696757925,-21.972324084536794,5.341465129570947,-15.162946303077158,9.344897469742644,1.8674048423451697,-22.139054219044755,0.0,7.518705678559416,1.8341875592873471,8.676391198615232,28.586689211618385,-8.977272768460125,-26.897752778295764,0.0,-4.878154011279664,5.5534259891681845,4.767645807590227,-246.63567075907744,-8.275478004250921,18.832284474427695,70.54907672822912,119.9265838857675,-263.49825276324225,-19.501540218151927,7.663552188524603,59.543467531583374,119.8039644992331
7,0.1166667,15.486956140409548,-1.0197613685657136,-2.569911020018143,-10.713429118356448,0.9753767734027384,0.5873539384088784,-22.281616672700242,5.501985136948049,-14.483321721532176,8.754028773369793,2.0028486574757633,-21.744973795079808,0.0,7.584402478015513,1.9954303631361823,9.238835709571758,28.57237387292184,-10.154999005255892,-27.551216711821667,0.0,-4.759996248599765,5.114695949283602,5.141859258727425,-247.6107943741654,-9.228371508090138,18.470377294751227,71.53696517427139,119.49891013578268,-262.92640342647707,-18.215721087291367,7.890883289557452,58.14136582283829,119.6587995139073
8,0.1333333,15.460291232637374,-0.9305165317576943,-2.4744724849786093,-10.713636862095717,0.9769360877385418,0.5868606491836401,-22.517157713098054,5.604907851591393,-14.012681593598181,8.070076823755217,1.8936305521812793,-21.399724779300453,0.0,7.744986517305504,2.1718371856229775,9.612047875603672,28.492447114391325,-11.394493424758187,-28.10679332769385,0.0,-4.738605943768639,4.758363411569856,5.404372053165968,-248.63313350506397,-9.694562635424877,17.28499155536182,73.0267259672083,119.50022786626164,-262.7845072275794,-17.37810592595394,7.5953682224950185,58.009700596709564,119.66255402730002
9,0.15,15.366962891609399,-0.8864980940787294,-2.4165784075600416,-10.71442276820434,0.9777491812066506,0.5865396260378579,-22.669903797025565,5.702504435992078,-13.746377240747874,7.4764459081636785,1.6089524787575264,-21.120443346889964,0.0,8.027131865261458,2.2576656753846436,9.801486559114139,28.476282189136594,-12.627796610762415,-28.592168829067813,0.0,-4.794810085684358,4.561374299938236,5.503911000688291,-249.42728563844136,-9.784454532996092,15.953903311711764,74.65798929430623,119.67286119049095,-262.8782080231697,-16.833076258727907,6.865424190881382,58.59933251146565,119.72347463323453
10,0.1666667,15.27227364161008,-0.915730512232624,-2.396997633041976,-10.715376837141484,0.9776666831858065,0.5863996355780685,-22.74815678302937,5.796296736146654,-13.606544404487925,7.122479101809341,1.2430177394951007,-20.955277247992143,0.0,8.375887785744014,2.233609723796186,9.828434178731676,28.61583304823139,-13.70526910367815,-29.01400300765143,0.0,-4.921331288641091,4.517661094753202,5.466221034700655,-249.79337155934644,-9.649112850841762,14.990494921245434,75.99728559743222,119.79347935915212,-262.96890358714097,-16.51075318658069,6.078820371531968,59.24718312192559,119.7647333143678
11,0.1833333,15.219555299351667,-0.9848183088643733,-2.429268393850793,-10.71618915538285,0.9770950849489847,0.5863874537366357,-22.75002714499564,5.848519038769926,-13.486543689775415,7.069183868669644,0.9127159941759301,-20.901237449016858,0.0,8.698832403695743,2.1566885067010992,9.734993469037068,28.898154794172612,-14.516184863335074,-29.36879669206064,0.0,-5.073317300924076,4.539657383574323,5.333124701182646,-249.78602989965276,-9.43081193183763,14.494332067386567,76.85283024224357,119.80952605611473,-262.9579790955001,-16.366004181608947,5.511896710396182,59.6058984915556,119.76948318785324
12,0.2,15.212775978465938,-1.0421378878838956,-2.5024420644988674,-10.716594451547806,0.9765625470173812,0.5864327372697512,-22.669225859918726,5.830587140634095,-13.299222124263643,7.296209978378525,0.7221228680486191,-20.902344061864657,0.0,8.923836612689206,2.097626513904131,9.578676938244847,29.24000249162115,-15.028672529261598,-29.639111918748522,0.0,-5.19600785153973,4.540983650818309,5.149596333692347,-249.6051192124391,-9.22477944386383,14.308060267485178,77.27565221799439,119.77304808090908,-262.87763611211886,-16.340439217504464,5.207982868846436,59.667159329555126,119.75648995639693
