,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0,0.0,213.32953445113563,106.20269048383886,24.10068180867884,-0.20188315196815038,0.5740113522444292,0.029562641511265045,-253.39895699025533,-57.93403740009962,-73.13847856478324,-43.18704597862422,-40.202693433947196,-35.65480084230003,0.0,-223.10517516163614,114.1214529527736,-6.343273995017744,9.225771933498176,-103.30643984116612,-217.50019227726247,0.0,-346.7325195070224,-117.53882608629995,205.57120195350757,289.97291745576496,-260.1874529016526,-42.97694291201505,108.84076704766599,35.01347724767585,-107.82885379967836,193.33742396467954,-134.46641750583325,309.7749619586548,6.8702030511287474e-12
1,0.0166667,160.95269782992244,82.05876075129082,13.93167875300519,-0.0770407118977115,0.4359963098611899,0.02028513717703595,-195.96528399337842,-49.22594022727989,-56.798645302537395,-34.355575261884624,-61.509368445928054,-34.26117820730545,0.0,-178.8603128888883,88.04486701679157,-12.349405682856968,-12.292956588789819,-120.82136866788213,-202.11894671949187,0.0,-270.18832856139494,-88.16548615014071,182.4452536235822,234.0485292788701,-278.7222812337804,-6.643368514564515,59.35529719247901,24.476319885170668,-87.61542809835754,169.43645866356303,-133.2542805692921,270.23240037043104,2.962492372210468e-12
2,0.0333333,111.93524752996053,55.81076332144413,6.4507694951049395,0.07696389553887191,0.2924535937038911,0.0013215271380987662,-144.33072718240078,-37.24185078073598,-36.51344689898342,-26.42936014902659,-79.35137675728619,-32.55494575487944,0.0,-139.1355393050741,58.927582869922915,-15.401173556392768,-31.335131065039004,-129.12991592223216,-173.6021738563706,0.0,-189.57725966099005,-53.81956011719099,150.47768777807516,164.90193912844006,-280.9822682193449,28.944223776770983,12.927644228573849,12.258520734931274,-64.89531340727531,134.58421864887322,-117.68612207760745,207.11372637225355,6.611202174201335e-13
3,0.05,74.39131306971731,30.53690993004524,4.380212821089211,0.24211430889451754,0.16033114984035957,-0.026879015087927484,-108.42839218355047,-22.219084317217078,-14.334282139832997,-21.807896745299992,-88.87484196945887,-30.359183232123517,0.0,-111.28661226954394,29.706151868153277,-13.556011463594725,-43.80658015924154,-121.05845515288529,-128.09679268351275,0.0,-113.1454214063272,-17.721361511387233,109.22151019418762,86.8079148353964,-255.55140332651825,58.324652107972085,-21.751829953470953,-0.4561712807895746,-41.392078741752286,87.9472205264378,-79.97382805087788,113.99643799773827,-4.650235633126702e-13
4,0.0666667,55.074882336165295,12.479187497589168,8.63805745378202,0.3568519557998548,0.06606110094085466,-0.05191882721489502,-94.5153184146828,-7.798801430063093,2.8099625580467253,-22.68554142998446,-86.63005147770197,-28.301857971079336,0.0,-99.61041817949348,7.417245383782497,-7.054754618970538,-46.97486780258177,-96.51197772015378,-74.28261072998662,0.0,-55.778250481158224,10.441628191266203,66.95939335197997,19.202445530349877,-203.12735495814118,73.99453313669788,-36.97197609326545,-10.263822631204723,-21.287603868770987,39.64672514180444,-24.151026195617597,6.018655105861754,-1.2165906466535008e-12
5,0.0833333,50.96431859961271,4.97491782506058,16.677857557927354,0.36543001061594876,0.018047242908261596,-0.058420096274440815,-95.77027728658982,2.0655607354679306,9.685327005799898,-27.981901076379025,-73.99630411854079,-28.26760299331936,0.0,-98.6274947360534,-3.3617876101719566,1.6805430598086082,-43.074312417454664,-64.99424572656798,-28.408940903009675,0.0,-24.903164543864534,23.088120667782366,33.94098589457206,-20.36042671408348,-138.83740274877098,72.30579616840494,-35.41402090904673,-14.533321664045943,-6.530213681206813,2.8268545909048193,33.919123632241565,-88.8703392595237,-1.1738167927213342e-12
6,0.1,51.33885740428683,5.864622387480213,23.674819547310573,0.2669212922675442,0.004039798409102007,-0.041597847260114416,-96.51661918418388,5.832145057960334,7.4565598299447835,-33.34857930372933,-56.420150594202525,-32.01489101119642,0.0,-96.69886352155426,-3.7949725067443527,9.848690017397642,-37.97378261384725,-39.59151630668872,-3.5069619190316605,0.0,-16.08953977442602,20.37941108230165,15.141919947364961,-28.820848379789737,-82.90835966995348,56.121890134181754,-27.456219010321952,-13.44374077502048,4.248641628992794,-15.372233027991399,74.50535942820368,-144.59679527049192,-1.8344367209627833e-13
7,0.1166667,47.66306732410395,10.130658508143668,25.670842389932133,0.12347816806195946,0.012247982169449577,-0.013667544360494051,-86.45788681468129,4.665336774038714,2.20574951113501,-35.229297137151306,-39.77402439542134,-38.12983570485811,0.0,-86.77080079131679,1.3412064169809437,16.091114651819925,-36.52061064148021,-26.74193051435757,0.2971750014204699,0.0,-19.40429878804205,8.748378310307592,7.723874530007091,-16.16344929960533,-46.67515383638956,34.33643387307697,-19.658097609856426,-9.904057324234365,12.61106398601979,-17.01841287941309,85.68168269031845,-150.1738103006882,7.568775531051685e-13
8,0.1333333,39.64112229639778,13.824907291899255,21.76361303653402,0.022183906128407132,0.044136408738684296,0.003845870962835945,-69.21485187735571,0.9255981374863,-0.5147156141238387,-34.825237937244154,-27.495007915953607,-40.33795997565204,0.0,-72.33371225488878,7.501839749310621,20.46218632328855,-39.77103459685544,-21.592061330373628,-3.224296346402596,0.0,-26.3697004871419,-4.389651854285484,4.105383486724969,4.693100996070674,-26.937989582101157,19.36166892408005,-9.20271752838299,-8.246262902062888,17.57521014817257,-9.512658419039388,69.84986299624212,-114.91499760498922,9.830406943923203e-13
9,0.15,32.32599468308905,15.564017829738368,13.932348436087057,0.0198504359611296,0.10147317476754582,-0.00371978284444208,-56.985796136882726,-3.2904808671494963,0.34283883857166025,-37.081554053108704,-19.475093761266287,-30.220060752457524,0.0,-62.8310831937913,12.264458147624135,23.030821194361003,-45.6591419377575,-12.767569250235999,4.298049368997517,0.0,-31.749900730799055,-14.531603557228532,-2.3267197079337922,25.74856616792186,-12.230782347104093,21.256253746715586,10.014433286920838,-12.29860669396795,16.43654709541536,0.6549064449478288,40.495939303512365,-62.530480426952224,7.942690443913977e-13
10,0.1666667,29.00801249874822,15.397357848103514,5.28789846966731,0.10935614253127507,0.1643038027816011,-0.03283268580819032,-57.509522145782086,-6.572453735064264,2.000126152353306,-44.88675345504204,-12.58389886474605,-3.761269917800936,0.0,-63.63037927679513,14.822956592615538,23.12728834804023,-50.947670115003,7.937827685028304,32.3391359821159,0.0,-32.04433207532385,-20.325163539741634,-13.089532666142372,43.99634649642522,6.285236362140447,40.36928907831985,37.76121838799068,-22.951179664196214,7.971035247983716,10.71039716465543,12.732763854260746,-17.622022477183567,4.702116917764446e-13
