time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
0.0,-0.45960098654757453,-4.707731098404768,0.449013781357953,-10.13146477206977,0.8660117402641001,0.5120432762664624,-6.461743150288344,2.5164568501275197,-6.779735104342789,3.861059012585605,1.3459434108314843,-21.491842670521255,0.0,-3.4177139344277934,-5.234980333500467,-2.773016673382243,9.818772439933522,6.980159197579471,-16.66152973747923,0.0,11.356065052624967,-5.587597966052832,18.855570661496273,-234.630506641427,-87.01318968348541,36.20528626213847,99.17586260039752,77.45557028085855,-231.8724618480491,8.42635024529587,95.64517720221322,9.396676402044411e-26,65.36267038467517
0.0166667,2.6849007790098867,-3.3912714866660525,1.3756527008145318,-10.134247595522,0.8712860910756686,0.5131266818200295,-9.621250209812104,1.8783475193084482,-8.317687557470265,3.544815386745102,3.1823768933543466,-20.07460117899592,0.0,-7.449034029659845,-3.780796239575287,-2.3192623848533676,8.446836581881621,7.25798222375631,-16.15282926317224,0.0,7.198817653617993,-7.602267757843274,21.316452741183358,-233.04185968112859,-91.11797711003732,34.511704246913546,103.11199364049145,78.8408185245063,-232.63137984543684,11.306583149529292,96.56159530905128,-1.3089259101772902e-22,62.28248030041117
0.0333333,5.142090072497125,-2.2828889683366844,2.2234985659700284,-10.136070246910766,0.8756822982806112,0.5141062852507755,-12.395442562901936,1.2832538506278346,-9.420281977062153,2.9466425023180016,4.277877083223844,-18.744361986905233,0.0,-10.710204880028773,-2.632889537583632,-1.9097198467518766,7.153125428136539,7.351570406141926,-15.645745757376247,0.0,4.068508006637451,-9.316844038829405,22.996427943734133,-231.70562260576983,-94.33812678839251,33.38594177256468,106.09530130127607,80.10602459704383,-233.2231205634835,13.594481843748186,96.88437101475942,-3.5081891804068546e-22,59.37109544356133
0.05,6.700561793221116,-1.5050266845966407,2.9379291434434167,-10.136163929209225,0.8789989446788988,0.5148196583574303,-14.65012194174575,0.8167257863113568,-9.894927878982273,2.0245569029850334,4.4119938478774525,-17.619040595148157,0.0,-12.945457344396683,-1.9362827165829029,-1.544109986729952,6.00883913665672,7.152055965579065,-15.191520851466745,0.0,2.2782613874936435,-10.533511664143802,23.615960103868385,-230.74938265396057,-96.20745343714646,32.97937221769189,107.7209301068527,81.13497648120365,-233.56634182134658,14.984211530706869,96.48972696338535,-4.5083645709802445e-22,56.87212379516835
0.0666667,7.556663297683305,-1.0577187929427032,3.4753401231711174,-10.134440580014097,0.8815138161014653,0.515152392963353,-16.380515832471477,0.5490348049576276,-9.895405643866711,1.0183277187242463,3.9091507502291796,-16.787310338581314,0.0,-14.328079727274112,-1.6312346763400436,-1.2334314382289273,5.092301040649287,6.695615999516199,-14.840426770578645,0.0,1.5003348192152086,-11.218609027205282,23.484645535534245,-230.18019576967058,-96.88776082253315,33.04128142102827,108.2527463875921,81.84174941417096,-233.71782724219105,15.551305513695828,95.75927262017906,2.520048532806991e-23,55.06791704911485
0.0833333,7.967937120903681,-0.8501030319750824,3.802381700361522,-10.13172237784719,0.8833800117037784,0.5151737237840639,-17.52970112482437,0.46199242032430327,-9.782896917251488,0.2551992898030168,3.215317711954469,-16.27377199321884,0.0,-15.09443315357525,-1.543997390419489,-1.040882902579971,4.464555646122991,6.120919323045239,-14.59189288655333,0.0,1.280674112150447,-11.495891811766892,23.159644302300467,-229.93897500596762,-97.00699803548969,33.25257247339007,108.29016418587405,82.20814271324065,-233.82014152942102,15.637218495855914,95.13882096257191,1.2020756126526483e-21,54.07027953230779
0.1,8.0917217465028,-0.7676343229999282,3.935253596631803,-10.129229817730542,0.8844677081678166,0.5151242610748622,-18.061273336739518,0.470505661358847,-9.839076941414843,-0.10245977043036633,2.515797026274066,-16.113397605519403,0.0,-15.399508604749666,-1.5176858576526273,-1.0061452547066423,4.11927286943802,5.548968097784187,-14.429630396980405,0.0,1.323751033278361,-11.583470746493447,23.034434848853003,-229.90255684241382,-97.247390215659,33.46814216453839,108.31899668566606,82.29588739973215,-233.9608932494466,15.648309476435058,94.66773063858777,2.0953551294948392e-21,53.61343902745879
0.1166667,8.013677761616838,-0.7273106895213628,3.955895521569116,-10.127835149498807,0.8846711909828889,0.5152798751987193,-18.080063861507075,0.5022541294039158,-10.085268951653656,-0.1367312325569902,1.7367188489516168,-16.392017136640426,0.0,-15.356998941312128,-1.4839414233667423,-1.0677082526920578,3.9903063380175356,5.042448312206315,-14.360362589075603,0.0,1.4925184038791486,-11.693511391404032,23.18538109748762,-229.90084210661468,-97.98921006573354,33.70002648769434,108.49591291174018,82.21397940696053,-234.09940538183852,15.87527107947364,93.9916069222347,6.774473360973802e-22,53.17379487325448
0.1333333,7.807404106467628,-0.6961325797042017,3.962834181156102,-10.127766740773048,0.884204161959351,0.5157935824300652,-17.800140381312456,0.5380636034244148,-10.345423475434197,-0.045299285296795784,0.8179699473858767,-17.11212102706424,0.0,-15.09040494843384,-1.4512442129559835,-1.1123222875355168,3.99084013490401,4.637362443999832,-14.382072915114117,0.0,1.7295832667868019,-11.922198110073463,23.48267238637557,-229.8138994039649,-99.17058913446438,33.977918965307,108.7444379297485,82.07109880749027,-234.15384143953887,16.375420771795604,92.85126907079845,-4.102459929296571e-21,52.406363534293696
0.15,7.579713446294991,-0.6730178818464262,4.006703495958501,-10.128693217619979,0.8835963464917492,0.5165960543850885,-17.454394952871162,0.5882447198790419,-10.429942892751919,0.02505411354040506,-0.09336385550895424,-18.032720575270623,0.0,-14.778941048557122,-1.4479083046574097,-1.082757674574683,4.001791007717218,4.322689811906017,-14.442773128148813,0.0,1.9631006994220326,-12.209508791732352,23.762543081317613,-229.64346831959114,-100.37841435200001,34.26213349598418,108.97092727588036,81.94309108595607,-234.12555344252618,16.9712577864805,91.45988497214817,-8.956691060530862e-21,51.42393042036958
