time,pelvis_x,pelvis_y,pelvis_z,femur_r_x,femur_r_y,femur_r_z,tibia_r_x,tibia_r_y,tibia_r_z,patella_r_x,patella_r_y,patella_r_z,talus_r_x,talus_r_y,talus_r_z,calcn_r_x,calcn_r_y,calcn_r_z,toes_r_x,toes_r_y,toes_r_z,femur_l_x,femur_l_y,femur_l_z,tibia_l_x,tibia_l_y,tibia_l_z,patella_l_x,patella_l_y,patella_l_z,talus_l_x,talus_l_y,talus_l_z,calcn_l_x,calcn_l_y,calcn_l_z,toes_l_x,toes_l_y,toes_l_z,torso_x,torso_y,torso_z,humerus_r_x,humerus_r_y,humerus_r_z,ulna_r_x,ulna_r_y,ulna_r_z,radius_r_x,radius_r_y,radius_r_z,hand_r_x,hand_r_y,hand_r_z,humerus_l_x,humerus_l_y,humerus_l_z,ulna_l_x,ulna_l_y,ulna_l_z,radius_l_x,radius_l_y,radius_l_z,hand_l_x,hand_l_y,hand_l_z
0.0,1.4076987264001055,0.7007871372203065,3.5419613066309257,0.6605001414406672,-0.8863765787750908,-0.02379714817036442,0.7080146921253414,-0.9008927934086941,0.21846664429413887,0.6594920287485092,-0.8871269020052044,-0.02379714817036442,0.4582976937489969,-1.29810995962784,2.3549651117586206,2.022479012400711,-1.0378433855067963,1.5414123406638103,2.022479012400711,-1.0378433855067963,1.5414123406638103,-0.2030286656533197,0.1948910027414609,-1.0337745278971517,-0.1578635776930399,0.5162346894668075,0.453232806905038,-0.20280697071341747,0.195121691917087,-1.0337745278971517,-0.06889063516652214,0.5965691466837848,0.7752387087892526,-0.5732700754395182,0.4465438715827971,0.53563438816333,-0.5732700754395184,0.4465438715827971,0.53563438816333,-0.26405911463755616,3.363317333503518,-1.2928813073943402,-0.3286869996633985,-2.520867646436227,-2.354625363254603,-1.9541677680279361,0.2285021057944897,2.5041516412105502,-2.776078647387388,1.7562295751910892,-1.3700879910057706,-2.7760786473873877,1.7562295751910886,-1.3700879910057704,-2.337859827655913,-2.7191416305992355,0.6143312397559458,-2.337859827655913,-2.719141630599235,0.614331239755946,-0.33311949286953907,0.4107630569454852,2.2352871453664074,-0.333119492869539,0.4107630569454851,2.2352871453664065
0.0166667,1.161689586378055,0.7355070779333545,2.841047488949651,0.3539524844237492,-0.36589041949533724,-0.30819295037773403,0.35749961916643025,-0.497503753542389,0.259259031028302,0.3535362895980082,-0.3662925773824684,-0.30819295037773403,0.19720622209443928,-0.7515715497109671,1.6205011014942146,1.5840655713169545,-0.3237580874881776,1.0923680734572943,1.5840655713169545,-0.3237580874881776,1.0923680734572943,-0.19621948254498578,0.33856634258735263,-0.9200391405153334,-0.17037126844813294,0.6584995043036488,0.49971717519771597,-0.19583445329367705,0.3387891978301038,-0.9200391405153334,-0.08373332876227413,0.7061733692408404,0.6267339121456167,-0.5588774896408796,0.5150307747332107,0.37286319307066323,-0.5588774896408797,0.5150307747332107,0.37286319307066323,-0.34774513552264974,2.6410582490508205,-0.8974462495030763,-0.2800194469324645,-1.9670358898800853,-1.797294194625718,-1.5086525836350635,0.30154788267886407,1.9322681596363167,-2.1034132472510545,1.7024131235220241,-1.103837631568948,-2.103413247251054,1.7024131235220237,-1.1038376315689478,-1.7308054201407845,-1.574087353089598,0.44425840979997755,-1.7308054201407845,-1.5740873530895976,0.44425840979997766,-0.26403468969322463,1.436288332148439,1.6580689199293288,-0.2640346896932246,1.4362883321484385,1.6580689199293284
0.0333333,0.882154004299868,0.7131508826998165,2.089095109931154,0.08723738575496687,0.10710814222383024,-0.5772701456130523,0.05644267048095241,-0.12385181466762729,0.265915403498536,0.0873590963163036,0.1070088963348373,-0.5772701456130523,-0.008515492882980404,-0.23072047868227927,0.8484902083022237,1.1467466299348683,0.3222513947330281,0.5797035057171853,1.1467466299348683,0.3222513947330281,0.5797035057171853,-0.1567840693502854,0.3984008305611769,-0.7877212881604361,-0.14171153045959595,0.7056654628960461,0.5107263703479906,-0.1563310421617917,0.3985788146031834,-0.7877212881604361,-0.07358085524789541,0.7095951671368751,0.410946233986706,-0.4910265291036683,0.48564909254443656,0.17448650632953544,-0.4910265291036683,0.48564909254443656,0.17448650632953544,-0.3865952987829624,1.7923483650200045,-0.4916710448101163,-0.2240589377471936,-1.4057250372311656,-1.1647807441278033,-1.063957702398766,0.3354067841283813,1.3420943751425738,-1.4280654569040732,1.5372931300678263,-0.8203835207761601,-1.428065456904073,1.537293130067826,-0.8203835207761598,-1.0711630288059322,-0.5000894359313741,0.28602125450954946,-1.0711630288059322,-0.500089435931374,0.2860212545095495,-0.13465990729950078,2.205835780488664,1.0452218229424788,-0.13465990729950073,2.2058357804886635,1.0452218229424783
0.05,0.5839713129830977,0.6073434299061492,1.3418115476735923,-0.08958184906259213,0.42348679649879084,-0.7583962283829365,-0.13647081878176187,0.1407406305891066,0.21855667177595825,-0.08910034607677811,0.4235883648299132,-0.7583962283829365,-0.11576887787717756,0.16380857454800202,0.12193196366705657,0.7428823721459616,0.7586151529486366,0.047705874886397645,0.7428823721459616,0.7586151529486366,0.0477058748863977,-0.08892308925406497,0.3543487359559978,-0.6303829997311157,-0.07579697171595619,0.6278625402652597,0.46540276141472675,-0.08852018697253575,0.3544496000483669,-0.6303829997311157,-0.04335179717847718,0.5815141076347781,0.13056069817222365,-0.36836045197589246,0.3416279982412366,-0.052311217356745245,-0.36836045197589246,0.3416279982412366,-0.052311217356745245,-0.3539358012226496,0.9155780010220842,-0.12647408071863206,-0.1679760864814642,-0.8763253954919166,-0.5440359682136089,-0.6523340758059344,0.31378830993708706,0.7802763931824647,-0.8076779162933769,1.224161281701316,-0.5347207678307744,-0.8076779162933769,1.2241612817013159,-0.5347207678307742,-0.4497023070352384,0.3143365965194179,0.1502848335728063,-0.4497023070352384,0.3143365965194179,0.1502848335728063,0.021483357188168455,2.4648836901423827,0.47421785681122636,0.021483357188168434,2.4648836901423823,0.4742178568112261
0.0666667,0.3220241927268992,0.43483340261107223,0.7135973915439987,-0.14527731988078374,0.47575949962021485,-0.7639129520705488,-0.18827885397558547,0.2127484219750713,0.12559525205700228,-0.14473635417068004,0.4759243521107112,-0.7639129520705488,-0.11439414864230615,0.3203576593668963,-0.4242662230236335,0.40259087410262784,0.8495217215617602,-0.39582081541517733,0.40259087410262784,0.8495217215617602,-0.39582081541517733,-0.02529414365804117,0.2539152612386153,-0.45358449481244845,-0.011828981175722807,0.4694710220745176,0.3684720204621671,-0.02500546127061598,0.2539438530461244,-0.45358449481244845,-0.018605049856227848,0.38280012942707603,-0.14466934972818285,-0.233220281273107,0.14995248956659374,-0.25925202304219985,-0.23322028127310698,0.14995248956659374,-0.25925202304219985,-0.263680447803076,0.2598762666231297,0.1149750629628049,-0.14973586307222092,-0.4354107282810856,-0.12873206899154668,-0.3095192684538258,0.26270368470300065,0.31698532780463373,-0.3121421991576929,0.8297990846064844,-0.27633270785869263,-0.3121421991576928,0.8297990846064844,-0.2763327078586925,-0.03406544344820221,0.7184203689140229,0.051903268763948664,-0.03406544344820221,0.7184203689140228,0.05190326876394866,0.11885436513548789,2.1751488906875442,0.08650894882685736,0.11885436513548783,2.175148890687544,0.08650894882685727
0.0833333,0.14368678347998462,0.24611892874174993,0.2650364936981204,-0.09992792120590968,0.2800247667330221,-0.5834279737428226,-0.12698985319971792,0.09867223861996607,0.024353532624117363,-0.09960950774222976,0.2801381898059753,-0.5834279737428226,-0.034937926478697756,0.2433462447578575,-0.7472615993975158,0.10890704635533749,0.6050603768138133,-0.6921058559612868,0.10890704635533749,0.6050603768138133,-0.6921058559612868,0.009528117140956142,0.16045067302809934,-0.2705718093032084,0.019992134346794036,0.3018401069730488,0.24785696922147937,0.009710520896492247,0.16043973720790183,-0.2705718093032084,-0.01442093997430839,0.19752311664079586,-0.3371620028638102,-0.12340611067454407,-0.004036814255263921,-0.3932622522549909,-0.12340611067454405,-0.004036814255263921,-0.3932622522549909,-0.1707735544168716,-0.02157690818538323,0.1934389215185388,-0.2204984506724836,-0.10812305111182323,-0.029773591921807712,-0.04200604734350418,0.23890889957627087,-0.02868980888851396,0.05055762441304432,0.48313895402013923,-0.06205193279467544,0.050557624413044386,0.48313895402013923,-0.06205193279467542,0.1074885638933531,0.8093920279191169,0.011166863022736626,0.1074885638933531,0.8093920279191167,0.011166863022736607,0.13100594961281556,1.6740496127298274,-0.049472424535602175,0.13100594961281553,1.6740496127298274,-0.0494724245356022
0.1,0.05577113051563362,0.0991860200278684,-0.02103827430434794,-0.012620443289908979,-0.0002647892344409125,-0.30817703181096895,-0.02306592095769308,-0.08060829023967042,-0.040510062825702485,-0.012620736162483947,-0.00025044138925944814,-0.30817703181096895,0.07044207009611968,0.07624729275271602,-0.9082449803195416,-0.17700445534921133,0.2037676850211136,-0.8516659086337356,-0.1770044553492113,0.2037676850211136,-0.8516659086337356,0.017771813182336466,0.10318505128761594,-0.10238156790849462,0.02187500509323066,0.17109690610549666,0.13873427451247933,0.017889108629879802,0.10316478054764695,-0.10238156790849462,-0.02283146868172601,0.07198734527142178,-0.4107020611146799,-0.046518318592085425,-0.07892252318310075,-0.4284109703908634,-0.0465183185920854,-0.07892252318310075,-0.42841097039086345,-0.13145799348520856,0.011804426299086178,0.1448110914217039,-0.3837580710885703,0.10915757440041055,-0.1759284485288945,0.15581921861897813,0.2779639820832973,-0.28109813194034927,0.31588670087592907,0.28384470599132383,0.09835536376884545,0.31588670087592907,0.28384470599132383,0.0983553637688454,0.0640997220228923,0.8567942860747866,0.03635169014516081,0.0640997220228923,0.8567942860747866,0.0363516901451608,0.1145590983517071,1.4361746744559516,0.0049498578835729425,0.11455909835170713,1.4361746744559516,0.004949857883572929
0.1166667,0.029046916650467235,0.027310292590445366,-0.18199218946255374,0.06113710298983039,-0.16591701237184736,-0.062204001358305776,0.06103962302497502,-0.17101485422028098,-0.04627758494412539,0.060948439107436345,-0.16598640946401608,-0.062204001358305776,0.15491549625448975,-0.008791219222026019,-0.963648014265859,-0.44302955095226215,-0.12176026407649694,-0.8875835880172748,-0.4430295509522622,-0.12176026407649694,-0.8875835880172748,0.016882923342642568,0.07189904675591699,0.02241245214201928,0.015466300202848511,0.08652123469940629,0.07044200303174337,0.01696465156515867,0.07187980677683992,0.02241245214201928,-0.026641851069071135,0.0054651056360602406,-0.3796737814452534,0.005442156581448591,-0.08828601956717952,-0.3764551218419519,0.005442156581448617,-0.08828601956717952,-0.3764551218419519,-0.15400941150986566,0.17216492547257828,0.04726879216216377,-0.5563116367097158,0.22215691909672197,-0.3796371709558392,0.2739237492597712,0.3494426430507206,-0.4411664270148885,0.4865136861601076,0.22972344832350108,0.19081736670083127,0.48651368616010743,0.229723448323501,0.19081736670083121,-0.01900646237974285,1.0172402527287732,0.10204447910623045,-0.019006462379742857,1.0172402527287732,0.10204447910623045,0.1270414673004773,1.625604889552163,0.12046631393047402,0.12704146730047736,1.6256048895521626,0.120466313930474
0.1333333,0.026142424430986758,0.02155758512615736,-0.22941534950939865,0.09715404535663731,-0.11722375161859835,0.08117119568957612,0.1004434883403158,-0.09172841862815515,-0.004757009281643141,0.09702071560768079,-0.11733412638986113,0.08117119568957612,0.19149716448467957,0.06566962830414087,-0.8992405889135477,-0.6020648408621437,-0.21906485893147437,-0.7805850003980763,-0.6020648408621438,-0.21906485893147437,-0.7805850003980763,0.01936429170057676,0.04425991850881651,0.07396636393335321,0.0179396734002523,0.043210903278213406,0.0667527860929669,0.019414596506999473,0.04423787542301854,0.07396636393335321,-0.0187208797312139,-0.022066517455381733,-0.29585832270375634,0.037266760278001895,-0.06942087719189301,-0.28317954130688205,0.03726676027800192,-0.06942087719189301,-0.283179541306882,-0.1899388312315775,0.2869309214339226,-0.03489000186163005,-0.6141708466199695,0.23445705913814785,-0.4743337273927776,0.2950199444239454,0.37608598987589453,-0.46390539324558,0.511379694024566,0.22542341460227136,0.2073315952615703,0.5113796940245658,0.22542341460227128,0.20733159526157025,-0.06217441837023629,1.2000391645132342,0.15686782392711898,-0.062174418370236295,1.200039164513234,0.15686782392711898,0.15855589345798424,1.9631476829341055,0.19713750013306575,0.15855589345798426,1.9631476829341048,0.19713750013306577
0.15,0.026797024988055473,0.04287297736923397,-0.15678386946072104,0.09942063509613347,0.10356296420911087,0.12358817432883573,0.10189573721018594,0.12559762208856998,0.04971370199003303,0.09953830741413701,0.10344986996523906,0.12358817432883573,0.17599982943869114,0.2551195734668719,-0.6828736124055613,-0.5621481275674862,-0.0748276457313716,-0.5243698580947648,-0.5621481275674864,-0.0748276457313716,-0.5243698580947648,0.024343109830224724,0.007827066397108496,0.03500171246105852,0.030770011838997482,0.039521272462228085,0.14584611871609549,0.024351992375879695,0.00779938663718026,0.03500171246105852,-0.008636094232452166,-0.028193928717714953,-0.2299513167378072,0.0565552056983772,-0.04765098327284243,-0.2137163875872445,0.05655520569837722,-0.04765098327284243,-0.21371638758724448,-0.17781116791584847,0.2783985054984393,-0.08799445454565168,-0.4959131050363273,0.16040836387950858,-0.407452573161231,0.2226204690017462,0.30839473223465713,-0.3174935396699202,0.35326150036502557,0.16349431565445138,0.15942611743979934,0.3532615003650254,0.1634943156544513,0.1594261174397993,-0.07648936070536641,1.2329945997709586,0.16324613563443088,-0.07648936070536641,1.2329945997709582,0.16324613563443088,0.15812612716456798,2.0766172678695676,0.21352422802716892,0.15812612716456792,2.076617267869567,0.21352422802716903
0.1666667,0.033193522474348994,0.05339538722985896,0.02194155868247312,0.08256880718508651,0.3699570030428797,0.10715054724566433,0.08315828786519666,0.3769977857896538,0.08371895718378593,0.08298934305491845,0.36986289481340295,0.10715054724566433,0.12429517325939703,0.4551186251055351,-0.35381557404410824,-0.3241899374155951,0.21029775571087703,-0.1840547599954237,-0.3241899374155953,0.21029775571087703,-0.18405475999542376,0.02350394284009669,-0.036794454198494995,-0.08106876387805911,0.04405494731840231,0.07161685351971424,0.30370627501520614,0.023462097517065576,-0.03682115110769058,-0.08106876387805911,-0.013355561947234145,-0.026198246470899227,-0.24250975093976257,0.08689411817124931,-0.02330067759322458,-0.2218443581321461,0.08689411817124931,-0.02330067759322458,-0.2218443581321461,-0.09880445012867578,0.1622494770662501,-0.14221309874596547,-0.26435717046303414,0.031067635771268205,-0.2412100559657933,0.09134931935170576,0.17940821497942552,-0.05484303492223029,0.06644896144581239,0.006287535940318563,0.07341768484028457,0.06644896144581228,0.006287535940318507,0.07341768484028455,-0.10386122532465736,1.099961872353391,0.12838984870387088,-0.10386122532465739,1.0999618723533904,0.12838984870387088,0.10540228726555528,1.915361910676672,0.20660681877195053,0.10540228726555526,1.9153619106766717,0.20660681877195058
